Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
TWIST,CA,null,SQ,eyebrow movement,side & UpDn > +camera,TURN
null,null,null,null,eyebrow movement,+camera,TILT
null,null,null,WD,eyebrow movement,+nd > +dh > +camera,TILT
LEAN,null,null,WD,eyebrow movement,+camera > UpDn,PUSH
LEAN,null,null,null,null,+camera,PUSH
LEAN,CA,null,WD,eyebrow movement,+dh > +camera,PUSH
LEAN,null,null,null,eyebrow movement,+camera,TILT
LEAN,null,null,WD,eyebrow movement,+dh > +camera > UpDn,TILT > PUSH
LEAN,CA,cheek movement,WD,eyebrow movement,+camera,PUSH
null,null,cheek movement,WD,eyebrow movement,+camera,PUSH
LEAN,null,null,WD,eyebrow movement,+camera,null
LEAN,CA,null,WD > // > SQ,eyebrow movement,+camera > UpDn,TURN
LEAN,CA,null,SQ > WD,eyebrow movement,+camera > side,TURN
null,null,null,WD,eyebrow movement,side > +camera > side,TURN
LEANTWIST,null,null,WD,eyebrow movement,side & UpDn > +camera,TURN > TILT
LEAN,null,null,WD,eyebrow movement,side,TILT
LEAN,null,null,WD > SQ,eyebrow movement,UpDn,TILT > TURN
LEAN,null,null,SQ > WD,eyebrow movement,UpDn,TURN
null,null,null,WD,eyebrow movement,+camera > +hands,TURN
null,null,null,SQ,eyebrow movement,+hands > +camera,TILT
null,null,null,SQ,eyebrow movement,+camera,TILT
null,null,null,SQ,eyebrow movement,+hands > +camera,TILT
LEAN,null,null,null,null,+camera,Headnod
LEAN,null,null,null,null,+hands,Headnod
LEAN,null,null,WD,eyebrow movement,UpDn > +camera,null
LEAN,null,null,WD,eyebrow movement,+camera > UpDn > +camera,PUSH
LEAN,null,null,WD,eyebrow movement,+camera > UpDn,PUSH > Headnod
null,null,null,WD,eyebrow movement,+camera,Headnod
null,null,null,WD,eyebrow movement,+camera,TILT
LEAN,null,null,null,null,+camera,TILT
LEAN,null,null,WD,eyebrow movement,+camera > UpDn,TILT
LEAN,CA,null,WD,eyebrow movement,UpDn > side & UpDn,TILT > PUSH > TURN
LEAN,CA,null,WD,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,WD,null,side & UpDn > +hands,PUSH
TWIST,CA,null,SQ,null,side & UpDn,TURN
LEANTWIST,null,null,SQ > //,null,side & UpDn,TURN
LEAN,null,null,null,null,+camera,TILT
null,null,null,null,null,+camera,TILT
LEAN,null,null,WD,eyebrow movement,side & UpDn,TILT
LEAN,null,null,WD,eyebrow movement,side & UpDn,TURN
LEAN,null,null,WD,eyebrow movement,side & UpDn,TURN
LEAN,null,null,WD,eyebrow movement,side & UpDn,TURN
LEAN,null,null,WD,eyebrow movement,side & UpDn,TURN
LEAN,null,null,WD > SQ,eyebrow movement,side & UpDn,TURN
LEAN,CA,cheek movement,SQ,eyebrow movement,side,TURN
null,CD,null,SQ,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,CD,null,null,eyebrow movement,side,TURN
LEAN,CD,null,null,eyebrow movement,side,TURN
LEAN,CD,null,null,eyebrow movement,side,TURN
LEAN,CD,null,null,eyebrow movement,side,TURN
LEAN,CD,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,CA,cheek movement,SQ,eyebrow movement,side,TURN > TILT > TURN
null,null,null,null,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side,TURN
null,CD,null,null,eyebrow movement,side,PUSH
null,CD,null,WD,eyebrow movement,side,PUSH
null,CD,null,WD,eyebrow movement,side,PUSH
null,null,null,WD,eyebrow movement,+dh,PUSH
null,null,null,WD,eyebrow movement,+dh,PUSH
LEAN,null,null,WD > // > WD,eyebrow movement,side,PUSH
