Body_value,CA-value,Cheeks-value,Eye_Ap-value,Eyebrows-value,Eyegaze-value,Head-value
null,null,null,CLOSED > //,eyebrow movement,+interlocutor1,TILT
null,null,null,//,eyebrow movement,+interlocutor1 > side,Headnod
null,null,null,null,null,side > +interlocutor1,TURN
null,null,null,//,null,+interlocutor1,TURN
null,null,null,//,null,+interlocutor1,Headshake
null,null,null,//,null,side,Headshake
null,null,null,//,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1,null
null,null,null,//,null,+interlocutor1,null
null,null,null,null,null,+hands > +interlocutor1,null
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1,null
LEAN,null,null,null,null,UpDn > +interlocutor1,PUSH
LEAN,null,null,null,null,+interlocutor1,PUSH
null,null,null,null,null,+interlocutor1,PUSH > Headnod
null,null,null,//,null,side,null
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,side & UpDn,Headshake
null,null,null,//,null,+interlocutor1,Headshake
null,null,null,null,null,+interlocutor1,null
null,null,null,//,null,+interlocutor1 > side,TILT
null,null,null,//,null,side,TURN
null,null,null,//,null,+interlocutor1,TURN
null,null,null,null,null,+interlocutor1,Headnod
null,null,null,null,null,+interlocutor1,Headnod
null,null,null,null,null,+interlocutor1 > side,Headnod > TURN
null,null,null,//,null,side > +interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TILT
null,null,null,null,null,+interlocutor1,null
null,null,null,//,null,+interlocutor1 > UpDn > +interlocutor1,PUSH
null,null,null,null,null,+interlocutor1,PUSH
null,null,null,null,null,+interlocutor1,PUSH & TURN
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1,null
LEAN,null,null,//,eyebrow movement,side,TILT
null,null,null,null,null,UpDn,TILT
null,null,null,//,null,UpDn,TILT
null,null,null,null,null,+camera,PUSH
null,null,null,null,null,side & UpDn,PUSH
SHOULDERS,null,null,//,null,side & UpDn,Headnod
null,null,null,//,null,side,Headnod
null,null,null,null,null,side & +camera,Headnod
null,null,null,//,null,+camera,PUSH
null,null,null,null,null,side & UpDn,TILT
null,null,null,//,null,side & UpDn,TILT
LEAN,null,null,//,null,+camera > side,TILT > PUSH
LEAN,null,null,//,null,side & UpDn,PUSH
null,null,null,//,null,UpDn,TURN
null,null,null,null,null,+camera > side,null
LEAN,null,null,//,null,side > UpDn,PUSH > TILT
null,null,null,//,null,+camera,TILT > PUSH
LEAN,null,null,//,null,side,TILT
LEAN,null,null,//,null,side > +camera,TILT
LEAN,null,null,//,null,+camera,TILT
null,null,null,//,null,side,TURN
null,null,null,//,eyebrow movement,side,TILT
null,null,null,//,eyebrow movement,UpDn,TILT
null,null,null,null,null,+camera,Headnod
null,null,null,null,null,side & UpDn > side,PUSH
null,null,null,null,null,side,PUSH
null,null,null,//,null,side,null
LEAN,null,null,//,null,+camera,PUSH
null,null,null,null,null,+camera,TILT
null,null,null,//,null,side,TILT
null,null,null,//,null,side,TILT
null,null,null,null,null,side > +camera,TILT
null,null,null,//,null,+camera,TILT
LEAN,null,null,//,null,+camera,TILT
LEAN,null,null,null,null,+camera,TILT
LEAN,null,null,null,null,+camera,TILT
LEAN,null,null,null,null,+nd,TILT
LEAN,null,null,null,null,+camera > +hands,TILT
LEAN,null,null,null,eyebrow movement,+hands > +camera,PUSH
LEAN,null,null,null,eyebrow movement,+camera > UpDn,PUSH
null,null,null,//,eyebrow movement,side,TILT
null,null,null,//,eyebrow movement,null,TILT
null,null,null,// > SQ,eyebrow movement,side,TILT
null,null,null,SQ,eyebrow movement,side > UpDn,TILT
null,null,null,null,eyebrow movement,UpDn > +camera,TILT
LEAN,null,null,//,eyebrow movement,UpDn > +camera,TILT > PUSH
LEAN,null,null,null,eyebrow movement,side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TILT
SHOULDERLEAN,null,null,null,null,side & UpDn,TILT
SHOULDERLEAN,null,null,null,null,side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TILT
LEAN,null,null,//,null,side & UpDn,TILT
LEAN,null,null,//,null,side & UpDn,TILT
null,null,null,null,null,side & UpDn,TILT
null,null,null,null,null,side & UpDn,TILT
LEAN,null,null,//,null,side & UpDn,TURN
LEAN,null,null,//,null,side & UpDn,TURN
null,null,null,null,null,side & UpDn,TURN
null,null,null,null,null,side & UpDn,TURN
LEAN,null,null,null,null,side & UpDn,TURN > Headnod
LEAN,null,null,//,null,null,Headnod
null,null,null,//,eyebrow movement,UpDn,TILT
null,null,null,SQ,eyebrow movement,UpDn,TILT
null,null,null,SQ,eyebrow movement,UpDn,TILT
null,null,null,SQ,eyebrow movement,UpDn,TILT
null,null,null,SQ,eyebrow movement,UpDn,TILT
LEAN,null,null,//,eyebrow movement,+camera,TILT
LEAN,null,null,// > SQ,eyebrow movement,side & UpDn,TILT
LEAN,null,null,SQ > //,eyebrow movement,side & UpDn,TILT
LEAN,null,null,null,eyebrow movement,UpDn,TILT
SHOULDERS,null,null,SQ > //,eyebrow movement,UpDn > +camera,TILT
SHOULDERS,null,null,// > SQ > //,eyebrow movement,side & UpDn,TILT
SHOULDERS,null,null,// > SQ > //,eyebrow movement,side & UpDn,TILT
null,CD,null,SQ,eyebrow movement,side & UpDn,TILT
SHOULDERS,CD,null,SQ,eyebrow movement,side,TILT > TURN
SHOULDERS,CD,null,SQ,eyebrow movement,side,TURN
SHOULDERS,null,null,// > SQ,eyebrow movement,side,PUSH
SHOULDERS,CA,null,SQ,eyebrow movement,side > UpDn,PUSH
SHOULDERS,CA,null,SQ > //,eyebrow movement,UpDn,PUSH > TURN
null,CA,null,SQ,eyebrow movement,side & UpDn,TURN
null,CA,null,SQ > //,eyebrow movement,side & UpDn,TURN
null,CA,null,//,eyebrow movement,side > +camera > side,TURN
LEAN,CA,null,SQ,eyebrow movement,side,TURN
LEAN,CA,null,SQ,eyebrow movement,side,PUSH
SHOULDERS,CA,null,SQ,eyebrow movement,side,PUSH
SHOULDERS,CA,null,SQ,eyebrow movement,side & UpDn,PUSH > TURN
null,CA,null,SQ,null,UpDn,TURN
null,null,null,// > SQ,null,side & UpDn,Headnod
null,null,null,SQ,null,side & UpDn,Headnod
null,null,null,SQ,eyebrow movement,side & UpDn,null
null,null,null,null,eyebrow movement,side & UpDn,null
null,null,null,null,eyebrow movement,side & UpDn,null
null,null,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
LEAN,CA,null,null,eyebrow movement,side & UpDn,TURN
TWIST,CA,null,//,eyebrow movement,side & UpDn,PUSH
null,null,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CD,null,null,eyebrow movement,side & UpDn > +camera,PUSH > TURN
TWIST,CA,null,//,null,side & UpDn,TURN
TWIST,CA,null,//,null,side,TURN
TWIST,CA,null,null,null,side & UpDn,TURN > TILT
TWIST,CA,null,null,null,side & UpDn,TILT
null,CA,null,//,null,side & UpDn,PUSH
TWIST,CA,null,null,null,side & UpDn,PUSH
LEAN,CA,null,null,eyebrow movement,side & UpDn > +camera,PUSH
LEAN,null,null,null,eyebrow movement,+camera > side & UpDn,TURN
LEAN,CA,null,SQ,eyebrow movement,+camera,TURN
LEAN,CA,null,SQ,eyebrow movement,+camera > UpDn,PUSH
LEANTWIST,CA,null,SQ,eyebrow movement,UpDn,PUSH
TWIST,CA,null,SQ,eyebrow movement,UpDn,null
LEANTWIST,CA,null,SQ,eyebrow movement,UpDn,TILT
LEAN,CA,null,SQ,eyebrow movement,UpDn,TILT > TILT
LEAN,CA,null,SQ,eyebrow movement,UpDn,TILT
TWIST,CA,null,SQ,eyebrow movement,UpDn,TILT
LEANTWIST,CA,null,SQ,eyebrow movement,UpDn,TILT
LEANTWIST,CA,null,SQ > //,eyebrow movement,UpDn > +camera,TILT
TWIST,CA,null,//,eyebrow movement,+camera > side & UpDn,TILT
null,null,null,//,eyebrow movement,side & UpDn,TILT
TWIST,CA,cheek movement,// > //,eyebrow movement,side,TURN
LEAN,CA,cheek movement,//,null,side,TURN
LEAN,null,cheek movement,//,eyebrow movement,side,TURN
SHOULDERLEAN,CD,null,//,eyebrow movement,side > +camera > side & UpDn,Headnod
LEAN,null,null,//,eyebrow movement,side & UpDn,TILT
TWIST,null,null,null,eyebrow movement,side & UpDn > +camera,TILT > Headnod
TWIST,null,null,// > SQ,eyebrow movement,side & UpDn,Headnod
SHOULDERS,null,null,SQ,null,side & UpDn,Headnod
SHOULDERS,CA,null,SQ,null,side & UpDn,TURN
SHOULDERS,CA,null,SQ,null,side & UpDn,TILT
SHOULDERLEAN,CA,null,SQ > //,null,side & UpDn,TILT
null,null,null,null,eyebrow movement,+nd,TILT
null,null,null,//,eyebrow movement,+nd,TILT
null,null,null,//,null,+nd,TILT
null,null,null,//,null,+hands,TILT
LEAN,null,null,null,null,+hands,TILT
LEAN,null,null,//,null,+hands > side & UpDn,TILT
null,null,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,SQ,null,side & UpDn,TILT
null,null,null,//,null,side & UpDn,TILT
null,null,null,SQ,null,side & UpDn,TILT
null,CA,null,SQ > //,null,side & UpDn,TILT
null,null,null,//,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,side & UpDn,null
SHOULDERS,null,null,null,eyebrow movement,side & UpDn,TILT
SHOULDERS,null,null,//,eyebrow movement,side & UpDn,TILT
SHOULDERTWIST,CA,cheek movement,null,null,side & UpDn,TILT
LEAN,null,null,//,null,+camera,TILT
LEAN,null,null,null,null,+camera,TILT
LEAN,null,null,null,null,+camera > side,TILT
LEAN,null,null,null,null,side > +camera,TILT
LEAN,null,null,null,null,+camera,null
LEAN,null,null,null,null,side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TILT
TWIST,null,null,null,null,+hands,TILT
LEAN,null,null,null,null,+hands,TILT
LEAN,null,null,null,null,+hands,TILT
LEAN,null,null,null,null,+hands > side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TILT
null,null,null,null,null,side & UpDn,TILT
SHOULDERLEAN,CA,null,//,null,side & UpDn,TILT > PUSH
LEAN,null,null,//,null,UpDn > side & UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,SQ,eyebrow movement,side & UpDn,TILT
null,null,null,SQ > // > SQ,eyebrow movement,side & UpDn,TILT
SHOULDERS,null,null,SQ,eyebrow movement,side & UpDn,null
SHOULDERS,null,null,SQ,eyebrow movement,side & UpDn,null
SHOULDERS,CA,null,SQ,eyebrow movement,side & UpDn,TILT
SHOULDERS,CA,null,SQ > //,eyebrow movement,side & UpDn,TILT
TWIST,CA,null,null,eyebrow movement,UpDn, TURN
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,TILT > PUSH
LEAN,CA,null,SQ,eyebrow movement,UpDn,PUSH
LEAN,null,null,//,null,side & UpDn,TILT
LEAN,null,null,//,null,side & UpDn,TILT
null,null,null,//,null,side & UpDn,TILT
LEAN,null,null,null,null,+camera,TURN
LEAN,null,null,null,null,+camera > side > UpDn,TURN
LEAN,CA,cheek movement,null,null,UpDn,TILT
LEAN,null,null,null,null,UpDn,TILT
LEAN,CA,cheek movement,SQ,null,UpDn,TILT
null,null,cheek movement,SQ,null,UpDn,TILT > TURN
null,null,null,SQ,null,UpDn,TURN > TILT
LEAN,null,null,SQ,null,UpDn > side,TILT
LEAN,null,null,null,eyebrow movement,side,null
LEAN,null,null,null,eyebrow movement,side,TURN
TWIST,CA,null,SQ,eyebrow movement,side,TILT
TWIST,null,null,null,eyebrow movement,side,TILT
TWIST,null,null,null,eyebrow movement,side,TILT
SHOULDERTWIST,CA,null,WD,eyebrow movement,side & UpDn,TURN
SHOULDERLEAN,null,null,//,eyebrow movement,side > +camera > side & UpDn,TURN
LEAN,null,null,//,null,side & UpDn,TILT
LEAN,null,null,//,null,side & UpDn,TILT
TWIST,CA,null,null,null,side & UpDn,TILT
TWIST,CA,null,//,null,side & UpDn,TILT
TWIST,null,null,null,null,side & UpDn,TILT
TWIST,null,null,//,null,+camera > UpDn,TILT
TWIST,null,null,null,null,UpDn > +camera > UpDn,TILT
null,null,null,null,null,UpDn > +camera,TILT
null,null,null,//,null,side,TILT
null,null,null,// > SQ > //,null,side,TILT
null,null,null,//,eyebrow movement,side & UpDn,TILT
null,null,null,null,eyebrow movement,UpDn > side,TILT > TURN
null,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,null,eyebrow movement,side,TURN
LEAN,null,null,//,eyebrow movement,side,TURN
LEAN,null,null,//,eyebrow movement,side & UpDn,TURN
TWIST,null,null,null,eyebrow movement,side & UpDn,TURN
TWIST,null,null,null,eyebrow movement,side & UpDn > side,TURN
TWIST,null,null,null,eyebrow movement,side & UpDn,TURN
TWIST,CA,null,null,null,side & UpDn,TURN
TWIST,CA,null,//,eyebrow movement,side & UpDn,TURN > TILT
TWIST,CA,null,// > SQ,eyebrow movement,side,TILT
TWIST,CA,null,SQ,eyebrow movement,side,TILT
TWIST,CD,null,SQ,eyebrow movement,side,TILT
TWIST,CD,null,null,null,side > +camera > side,null
null,CD,null,null,null,side & UpDn > side,TILT
null,CD,null,null,null,side > +camera,TILT > TURN
null,CD,null,//,null,+camera > side,TURN
null,CD,null,null,null,side,PUSH
TWIST,CD,null,null,null,side,PUSH
TWIST,CD,null,SQ,null,side,TILT
LEANTWIST,CD,null,SQ,null,side > +camera,TILT > PUSH
LEAN,CD,null,//,null,+camera,PUSH
LEAN,CD,null,// > SQ > //,null,side > +camera > side,PUSH
TWIST,null,null,//,null,side,TURN
TWIST,null,null,//,null,side > +camera,TURN
null,CA,null,//,null,+camera > UpDn,TURN
LEAN,null,null,null,null,+camera > side,TURN > Headnod
LEAN,null,null,//,null,side,Headnod
LEAN,null,null,//,null,+camera,Headnod & TILT
LEAN,null,null,//,null,+camera,TILT
LEAN,null,null,//,null,+camera > side & UpDn,TILT
LEAN,null,null,//,null,side & UpDn > +camera,TILT
LEANTWIST,null,null,null,null,+camera > side & UpDn,TILT
LEANTWIST,null,null,//,null,+camera > side & UpDn,PUSH
TWIST,null,null,null,null,side,TURN
TWIST,CA,null,CLOSED,null,side > +camera,TURN
TWIST,null,null,null,null,+camera > side & UpDn,TURN > TILT
TWIST,null,null,null,null,side & UpDn,TILT
TWIST,null,null,null,null,side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TILT
LEAN,null,null,null,null,side & UpDn,TILT
LEAN,null,null,null,null,+camera,null
LEAN,null,null,//,null,side & UpDn,TURN
null,null,null,//,null,side & UpDn > +interlocutor1,TURN
null,null,null,null,null,side,TURN
null,null,null,null,null,+hands,TILT & PUSH > TILT
null,null,null,//,null,side & UpDn > +interlocutor1,TURN
LEAN,null,null,null,null,UpDn,PUSH
LEAN,CA,null,null,null,UpDn,TILT
LEAN,CA,null,null,null,UpDn,TILT
LEAN,CA,null,null,null,UpDn,TILT
LEAN,null,null,SQ,eyebrow movement,+interlocutor1 > UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,UpDn > side & UpDn > +interlocutor1 ,PUSH > TURN > PUSH
LEAN,CA,null,SQ,eyebrow movement,UpDn,TURN & TILT
LEAN,CA,null,SQ > //,eyebrow movement,UpDn > +interlocutor1 > side & UpDn,PUSH
LEAN,null,null,null,null,side & UpDn > +interlocutor1,TILT
null,null,null,null,null,+interlocutor1 > side & UpDn,TILT
null,null,null,null,null,side,TILT
null,null,null,null,null,+hands,PUSH
null,null,null,null,null,+interlocutor1 > +hands,PUSH > TILT
null,null,null,//,null,+hands > side,TILT
null,null,null,null,null,+interlocutor1,TILT
null,CA,null,//,null,side,TILT > PUSH
LEAN,null,null,null,null,+interlocutor1 > +dh,PUSH
LEAN,CA,null,CLOSED > //,null,side & UpDn > +hands > +interlocutor1,TILT
LEAN,null,null,null,null,+interlocutor1,TILT
LEAN,null,null,//,null,+interlocutor1,TURN
null,CA,null,//,null,side > +interlocutor1,TURN
null,CA,null,//,null,side > +interlocutor1,TURN
null,CA,null,null,null,+interlocutor1 > UpDn > +interlocutor1,PUSH
null,CA,null,null,eyebrow movement,+interlocutor1 > side & UpDn > +interlocutor1,TURN
null,CA,null,SQ,eyebrow movement,side,null
null,CA,null,null,null,+interlocutor1,null
null,CA,null,//,null,side > +interlocutor1,TURN
null,CA,null,null,null,+interlocutor1 > UpDn,TILT
null,CA,null,//,null,UpDn > +interlocutor1,TILT
null,null,null,//,null,+interlocutor1,Headnod
null,null,null,null,null,+interlocutor1,null
null,CA,null,SQ,eyebrow movement,side,TURN
null,null,null,SQ > //,eyebrow movement,side,TURN
null,null,null,null,eyebrow movement,side > +interlocutor1,TURN
null,CA,null,SQ > // > SQ,eyebrow movement,side,PUSH > TURN
null,CA,null,SQ > // > SQ > //,eyebrow movement,side & UpDn,TURN
null,CA,null,SQ,eyebrow movement,+interlocutor1,TURN > TILT
null,CA,null,CLOSED > SQ,eyebrow movement,side & UpDn,TILT
null,CA,null,null,eyebrow movement,side & UpDn > +interlocutor1,TURN
null,CD,null,//,null,side,TURN
null,CD,null,null,null,+interlocutor1,TURN
null,CA,null,null,null,side & UpDn,TILT > TURN
null,CA,null,null,null,side & UpDn > +interlocutor1,TURN
null,CA,null,null,null,side & UpDn > +interlocutor1,TILT
null,CA,null,null,null,+interlocutor1 > side & UpDn,TILT > PUSH & TURN
LEAN,CA,null,null,null,side & UpDn > +interlocutor1,TURN
LEAN,CA,null,null,null,+interlocutor1 > +hands,TILT
null,CA,null,null,null,+hands > +interlocutor1 > UpDn,TILT
null,CA,null,null,eyebrow movement,UpDn,TILT > TURN
null,CA,null,SQ,eyebrow movement,+interlocutor1 > +hands,TILT > TURN
null,CA,null,SQ,eyebrow movement,side,TURN
null,CA,null,//,eyebrow movement,UpDn > +interlocutor1,TURN
null,CA,null,null,null,+interlocutor1,null
null,CA,null,null,null,UpDn > +interlocutor1 > +dh,PUSH
null,CA,null,SQ > // > SQ,eyebrow movement,+dh > +interlocutor1 > UpDn,PUSH > TILT
null,CA,null,//,eyebrow movement,+interlocutor1 > side > +interlocutor1,TURN
null,CA,null,null,null,+interlocutor1 > side,TURN
null,CA,null,// > SQ,eyebrow movement,+interlocutor1,null
null,CA,null,//,null,side > +interlocutor1,TURN
null,CA,null,null,null,+interlocutor1 > side & UpDn > +interlocutor1,TURN
null,CA,null,//,null,+interlocutor1 > side & UpDn,TILT
null,null,null,null,eyebrow movement,+interlocutor1,TILT
null,null,null,// > SQ > //,eyebrow movement,side & UpDn,TURN
null,null,null,null,null,side & UpDn,TURN
LEAN,null,null,null,null,side & UpDn > +interlocutor1,TURN
LEAN,null,null,null,null,+interlocutor1 > side & UpDn,TURN
LEAN,null,null,//,null,side & UpDn > +interlocutor1,TURN
LEAN,null,null,SQ > //,eyebrow movement,side & UpDn,TILT > Headnod
LEAN,CA,null,//,eyebrow movement,side & UpDn > +interlocutor1,Headnod > TURN
null,null,null,// > SQ,eyebrow movement,side,TURN
null,null,null,null,null,+interlocutor1,TURN
null,null,null,//,eyebrow movement,side > +interlocutor1,TURN & Headnod
null,CA,null,//,eyebrow movement,side & UpDn,TILT
null,CA,null,// > SQ,eyebrow movement,+interlocutor1,TILT
null,null,null,SQ,eyebrow movement,side & UpDn > +interlocutor1,TURN > TILT > TILT > TILT
null,null,null,SQ,null,+hands > +interlocutor1,TILT
null,CA,null,null,null,+interlocutor1,TILT
null,null,null,null,null,+hands > +interlocutor1 > UpDn,TILT
null,null,null,null,eyebrow movement,+interlocutor1,TILT
null,null,null,null,eyebrow movement,+interlocutor1,PUSH
null,null,null,null,null,+interlocutor1,PUSH
null,null,null,//,null,+interlocutor1 > side,PUSH
null,null,null,null,null,side > +interlocutor1,PUSH
LEAN,CA,null,null,eyebrow movement,UpDn,PUSH
LEAN,null,null,null,eyebrow movement,+interlocutor1,PUSH
LEAN,null,null,SQ > WD,eyebrow movement,side > +interlocutor1,PUSH
LEAN,CA,null,WD,eyebrow movement,+interlocutor1,PUSH
LEAN,CA,null,CLOSED > SQ > CLOSED > SQ > //,eyebrow movement,side > +interlocutor1,TILT
LEAN,CA,null,// > CLOSED,null,+hands,TILT
LEAN,CA,null,CLOSED,eyebrow movement,+interlocutor1,TILT
LEAN,null,null,null,null,UpDn,TILT
null,null,null,null,null,UpDn,TILT
null,CA,null,null,null,null,TILT
TWIST,CA,null,//,null,side,TILT
TWIST,CA,null,null,null,+interlocutor1 > side > +interlocutor1,TILT
null,null,null,SQ,eyebrow movement,+interlocutor1 > +dh,null
null,null,null,//,eyebrow movement,+interlocutor1,TILT
null,null,null,SQ > //,eyebrow movement,+dh > +interlocutor1,null
LEAN,CA,null,//,null,+interlocutor1 > UpDn > +interlocutor1,PUSH
LEAN,null,null,null,null,+interlocutor1,PUSH
null,CA,null,null,null,side > +interlocutor1,null
null,null,null,null,null,+interlocutor1,null
null,null,null,null,eyebrow movement,+interlocutor1 > UpDn,null
null,null,null,null,eyebrow movement,UpDn > side,TURN
null,null,null,SQ,eyebrow movement,side > +interlocutor1,TURN
null,null,null,//,eyebrow movement,+dh > +interlocutor1,TILT
null,null,null,null,null,+interlocutor1,TILT
null,null,null,CLOSED,null,+interlocutor1,TILT
null,null,null,null,null,+interlocutor1,TILT
null,CA,null,null,null,+interlocutor1,TILT
null,null,null,//,null,+interlocutor1,TILT
null,null,null,//,null,+interlocutor1,TILT
null,CA,null,null,null,+interlocutor1,TILT
LEAN,CA,null,CLOSED > SQ > //,eyebrow movement,side > +interlocutor1,TILT
LEAN,CA,null,//,null,+interlocutor1 > side,null
null,CA,null,null,null,null,null
null,CA,null,SQ,eyebrow movement,+interlocutor1,TILT
LEAN,CA,null,SQ > CLOSED,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,null,PUSH
LEAN,CA,null,SQ > CLOSED,eyebrow movement,+interlocutor1,PUSH
LEAN,CA,null,SQ,eyebrow movement,side > +interlocutor1,TURN
null,CD,null,//,eyebrow movement,+interlocutor1 > side > +interlocutor1,TURN
null,CA,null,//,null,+interlocutor1,null
null,CA,null,//,null,+interlocutor1 > side > +interlocutor1,TURN
null,null,null,null,null,+interlocutor1,TURN
null,CA,null,null,eyebrow movement,+interlocutor1 > side,null
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,+interlocutor1 > side,null
null,CA,null,null,null,side > +interlocutor1 > side > +interlocutor1,null
null,CA,null,SQ,eyebrow movement,+interlocutor1 > side > +interlocutor1,TILT
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1,TILT
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1,TILT
LEAN,CA,null,null,null,+interlocutor1 > side,TILT
LEAN,null,null,null,null,+interlocutor1,TILT
null,CA,null,// > SQ > //,eyebrow movement,side > +interlocutor1 ,null
null,null,null,SQ,eyebrow movement,side,null
null,CA,null,SQ,eyebrow movement,+interlocutor1 > side,null
null,null,null,null,null,UpDn,null
null,null,null,null,null,+interlocutor1,null
null,null,null,null,null,side,TILT
null,null,null,null,eyebrow movement,null,TILT
null,CA,null,null,eyebrow movement,side,TILT
null,null,null,//,eyebrow movement,side,TILT
LEAN,CA,null,//,eyebrow movement,+interlocutor1,TILT
LEAN,CA,null,//,eyebrow movement,UpDn > +interlocutor1 ,TILT > PUSH
LEAN,CA,null,null,null,+interlocutor1,PUSH
null,CA,null,//,eyebrow movement,+interlocutor1,TILT
null,CA,null,null,eyebrow movement,null,PUSH & TURN
LEAN,CA,null,null,eyebrow movement,+interlocutor1,TURN & PUSH
LEAN,CA,null,//,null,+interlocutor1,TILT
LEAN,CA,null,null,null,+interlocutor1 > UpDn,TILT
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1 > +dh > +interlocutor1 > UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1,null
LEAN,null,null,// > SQ,eyebrow movement,+interlocutor1,TILT
LEAN,null,null,SQ,eyebrow movement,UpDn > +interlocutor1 ,TILT
LEAN,null,null,SQ,eyebrow movement,+interlocutor1,TURN
LEAN,null,null,SQ,eyebrow movement,side,TURN
LEAN,null,null,null,null,+interlocutor1 > side & UpDn,TURN
LEAN,CA,null,null,null,+interlocutor1 > side & UpDn,TURN
LEAN,null,null,null,null,side & UpDn > +interlocutor1 ,TURN
LEAN,CA,null,//,null,+interlocutor1 > side,TURN
LEAN,CA,null,// > SQ,eyebrow movement,side,TURN
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1 > side & UpDn,TURN
null,CA,null,SQ,eyebrow movement,side & UpDn > +interlocutor1 ,TURN > PUSH
null,null,null,null,null,null,PUSH
LEAN,CA,null,null,null,UpDn > +interlocutor1,PUSH
LEAN,CA,null,WD > //,eyebrow movement,UpDn > +interlocutor1,PUSH
LEAN,CA,null,null,null,UpDn,PUSH
LEAN,CA,null,null,null,side & UpDn > +interlocutor1 ,PUSH
LEAN,CA,null,WD,eyebrow movement,+interlocutor1 > UpDn > +interlocutor1 > UpDn,PUSH
LEAN,null,null,null,null,+interlocutor1,PUSH
LEAN,null,null,null,null,UpDn,TILT
LEAN,null,null,//,null,+interlocutor1 > UpDn,TILT
LEAN,null,null,null,null,UpDn,TILT
LEAN,null,null,CLOSED,null,+interlocutor1 > side,TILT
LEAN,null,null,null,null,side > +interlocutor1,TILT
LEAN,null,null,null,null,+interlocutor1,TILT
LEAN,null,null,null,null,+dh > +interlocutor1,TILT
LEAN,null,null,//,null,+interlocutor1 > side,TILT
LEAN,null,null,//,null,+interlocutor1 > UpDn,TILT
LEAN,null,null,null,null,+interlocutor1,null
LEAN,CA,null,SQ,eyebrow movement,UpDn > +interlocutor1,TILT
LEAN,CA,null,//,null,null,TURN
LEAN,null,null,null,null,UpDn,TILT
LEAN,CA,null,WD,null,UpDn > +interlocutor1,TILT
LEAN,null,null,null,null,+hands > +interlocutor1,TILT
null,null,null,null,null,+interlocutor1,null
null,null,null,//,eyebrow movement,+interlocutor1 > +hands,PUSH
null,null,null,null,eyebrow movement,+hands > +interlocutor1,null
LEAN,CA,null,//,null,+interlocutor1 > side & UpDn > +interlocutor1 > UpDn,TILT
LEAN,null,null,null,null,UpDn,TILT > PUSH
LEAN,null,null,null,null,UpDn,PUSH
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1 > +hands,PUSH
LEAN,CA,null,SQ,eyebrow movement,+interlocutor1,PUSH
LEAN,CA,null,SQ,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,null,eyebrow movement,side & UpDn,PUSH
LEAN,CA,null,null,null,+interlocutor1,null
LEAN,CA,null,null,null,+interlocutor1 > +hands,TILT
LEAN,null,null,null,null,+hands,TILT
LEAN,CA,null,null,null,+interlocutor1,TILT
LEAN,CA,null,null,null,+hands,TILT
LEAN,CA,null,null,null,side > +interlocutor1,TILT
LEAN,CA,null,null,null,null,null
LEAN,null,null,null,null,side > +interlocutor1 > side & UpDn,TILT
LEAN,CA,null,null,null,+interlocutor1 > side & UpDn > +interlocutor1,TILT
LEAN,null,null,null,null,+interlocutor1 > side & UpDn,null
LEAN,null,null,null,null,+interlocutor1,null
LEAN,null,null,null,null,+interlocutor1,null
LEAN,null,null,null,null,side & UpDn,TILT
LEAN,null,null,//,null,+interlocutor1,TILT
LEAN,null,null,//,null,side > +interlocutor1,TURN
null,null,null,null,null,+interlocutor1,null
null,null,null,null,eyebrow movement,+hands,TILT
null,null,null,null,null,side > +interlocutor1,TILT
LEAN,null,null,null,null,+interlocutor1,null
