Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{Body_LEAN_nmf=1,Body_forward_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},3%,59%,0.049180328,1.676574,86,1.568933,0.21963302,0.077898551,0.00,1.3230769,1
"{Head_PUSH_nmf=1,head_forward_nmf=1} ", {Verb_Dom_gc=1},5%,52%,0.094011375,1.470321,145,1.341045,0.26707122,0.122362869,0.00,1.25,1
"{Body_forward_nmf=1,head_latral_nmf=1} ", {CA_gc=1},4%,54%,0.072599532,1.54514,117,1.412787,0.24593132,0.102362205,0.00,1.2717391,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1,head_latral_nmf=1} ", {CA_gc=1},4%,54%,0.072599532,1.54514,117,1.412787,0.24593132,0.102362205,0.00,1.2717391,1
"{Eyebrows_Furrowed_nmf=1,Eyegaze_dn_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},2%,61%,0.040816327,1.738255,74,1.654762,0.20744819,0.067827681,0.00,1.3454545,1
{Body_forward_nmf=1} , {CA_gc=1},8%,46%,0.179658749,1.318148,247,1.205572,0.33004082,0.185296324,0.00,1.1706161,1
"{Body_LEAN_nmf=1,Body_forward_nmf=1} ", {CA_gc=1},8%,46%,0.179658749,1.318148,247,1.205572,0.33004082,0.185296324,0.00,1.1706161,1
"{Body_LEAN_nmf=1,Eyegaze_sr_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},5%,51%,0.096687855,1.457676,147,1.325032,0.26774801,0.124050633,0.00,1.2352941,1
"{Eyegaze_sl_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},8%,46%,0.172298428,1.324376,238,1.210443,0.32473656,0.18030303,0.00,1.1724138,1
"{Eyegaze_sl_nmf=1,Head_TURN_nmf=1,head_latral_nmf=1} ", {CA_gc=1},8%,46%,0.172298428,1.324376,238,1.210443,0.32473656,0.18030303,0.00,1.1724138,1
"{Eyegaze_dn_nmf=1,Head_PUSH_nmf=1} ", {Verb_Dom_gc=1},3%,56%,0.059217129,1.593721,99,1.472836,0.2297528,0.087843833,0.00,1.2857143,1
"{Body_latral_nmf=1,Eyegaze_sr_nmf=1,Eyegaze_sl_nmf=1} ", {Verb_Dom_gc=1},1%,74%,0.018066243,2.110652,40,2.503465,0.16806426,0.037629351,0.00,1.4814815,1
"{Body_LEAN_nmf=1,Head_PUSH_nmf=1} ", {Verb_Dom_gc=1},4%,53%,0.077617932,1.510663,123,1.381457,0.24932933,0.106217617,0.00,1.255102,1
"{Eyebrows_Furrowed_nmf=1,Head_TURN_nmf=1,head_forward_nmf=1} ", {CA_gc=1},1%,72%,0.019404483,2.075214,42,2.36007,0.17076275,0.039660057,0.00,1.4482759,1
"{Body_forward_nmf=1,Eyebrows_Furrowed_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},1%,76%,0.016393443,2.16395,37,2.65847,0.16366715,0.03507109,0.00,1.48,1
"{Body_forward_nmf=1,Eyegaze_sr_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},2%,64%,0.030779525,1.837832,59,1.815059,0.19046533,0.054832714,0.00,1.372093,1
"{Body_forward_nmf=1,Eyegaze_dn_nmf=1,head_latral_nmf=1} ", {CA_gc=1},3%,59%,0.042823687,1.701552,76,1.602594,0.20800149,0.069406393,0.00,1.3333333,1
"{Body_LEAN_nmf=1,Eyegaze_sl_nmf=1,Head_PUSH_nmf=1} ", {CA_gc=1},2%,66%,0.026764804,1.898574,53,1.929048,0.18348,0.04953271,0.00,1.3947368,1
"{Eyegaze_sl_nmf=1,head_forward_nmf=1} ", {CA_gc=1},5%,51%,0.095349615,1.447969,144,1.31596,0.26411794,0.121621622,0.00,1.2307692,1
"{EyeAp_WD_nmf=1,Eyegaze_sr_nmf=1} ", {CA_gc=1},3%,59%,0.043158247,1.688362,76,1.584641,0.20719372,0.069343066,0.00,1.3103448,1
"{Body_LEAN_nmf=1,Eyegaze_sl_nmf=1,Head_TURN_nmf=1} ", {CA_gc=1},5%,50%,0.097356976,1.43781,146,1.306598,0.26501119,0.122895623,0.00,1.2166667,1
