Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{Eyebrows_pres=0,Eyegaze_pres=1} ", {EyeAp_pres=0},22.78%,49.93%,0.456339913,1.226219,681,1.183945,0.52856042,0.358421053,0.00,1.16,1.00
"{CA_pres=0,Head_pres=0} ", {Body_pres=0},6.39%,62.01%,0.103044496,1.675921,191,1.6584,0.3272506,0.156173344,0.00,1.44,1.00
"{Body_pres=0,Cheeks_pres=0,Eyebrows_pres=0} ", {CA_pres=0},14.29%,82.12%,0.173971228,1.261269,427,1.951097,0.42447761,0.209416381,0.00,1.18,1.00
"{Cheeks_pres=0,Eyebrows_pres=0,Eyegaze_pres=1} ", {EyeAp_pres=0},22.18%,50.04%,0.443292071,1.228947,663,1.186576,0.52210794,0.352847259,0.00,1.16,1.00
"{Body_pres=0,Eyebrows_pres=0,Eyegaze_pres=1} ", {CA_pres=0},13.62%,82.06%,0.165941787,1.260363,407,1.944689,0.41426873,0.2,0.00,1.18,1.00
"{CA_pres=0,Eyegaze_pres=1,Head_pres=0} ", {Body_pres=0},5.99%,61.51%,0.097356976,1.662382,179,1.636814,0.31552151,0.146962233,0.00,1.42,1.00
{Eyebrows_pres=0} , {EyeAp_pres=0},23.29%,48.95%,0.475744396,1.202112,696,1.161183,0.52907124,0.358208955,0.00,1.14,1.00
{EyeAp_pres=0} , {Eyebrows_pres=0},23.29%,57.19%,0.407159585,1.202112,696,1.224605,0.52907124,0.358208955,0.00,1.14,1.00
"{Cheeks_pres=0,Eyebrows_pres=0} ", {EyeAp_pres=0},22.68%,49.06%,0.462361994,1.204917,678,1.163786,0.52279375,0.352941176,0.00,1.14,1.00
"{Cheeks_pres=0,EyeAp_pres=0} ", {Eyebrows_pres=0},22.68%,57.12%,0.397122784,1.200619,678,1.222576,0.52186063,0.351113413,0.00,1.14,1.00
"{CA_pres=0,EyeAp_pres=0,Head_pres=1} ", {Eyebrows_pres=0},13.75%,61.99%,0.221813315,1.303031,411,1.379292,0.42328732,0.245519713,0.00,1.20,1.00
"{CA_pres=1,EyeAp_pres=1,Head_pres=1} ", {Body_pres=1},15.06%,77.72%,0.193710271,1.2337,450,1.660803,0.43097102,0.223658052,0.00,1.16,1.00
"{Cheeks_pres=0,Eyebrows_pres=0,Head_pres=0} ", {Body_pres=0},4.15%,65.96%,0.06289729,1.782521,124,1.850556,0.27193506,0.105982906,0.00,1.46,1.00
"{Eyebrows_pres=0,Head_pres=0} ", {Body_pres=0},4.15%,65.61%,0.06323185,1.77309,124,1.831778,0.2712147,0.1058924,0.00,1.46,1.00
"{Eyebrows_pres=0,Eyegaze_pres=1,Head_pres=0} ", {Body_pres=0},3.85%,66.09%,0.058213449,1.786156,115,1.857897,0.26214746,0.098712446,0.00,1.46,1.00
"{Eyebrows_pres=1,Head_pres=1} ", {CA_pres=1},19.50%,42.34%,0.460689194,1.213322,583,1.129095,0.48647377,0.317365269,0.00,1.14,1.00
"{CA_pres=0,Cheeks_pres=0} ", {Head_pres=0},10.27%,16.17%,0.635329542,1.27497,307,1.041589,0.36187309,0.155758498,0.00,1.18,1.00
"{Eyebrows_pres=1,Eyegaze_pres=1,Head_pres=1} ", {CA_pres=1},19.14%,42.43%,0.450986952,1.21604,572,1.130954,0.48240181,0.314458494,0.00,1.14,1.00
"{CA_pres=1,Eyebrows_pres=0,Head_pres=1} ", {Body_pres=1},10.44%,80.21%,0.130143861,1.273153,312,1.869339,0.36454793,0.159183673,0.00,1.17,1.00
"{Body_pres=0,Cheeks_pres=0,Eyebrows_pres=0} ", {Head_pres=0},4.15%,23.85%,0.173971228,1.880637,124,1.146629,0.27931895,0.16,0.00,1.51,1.00
"{Cheeks_pres=0,Eyebrows_pres=1,Head_pres=1} ", {CA_pres=1},18.97%,42.44%,0.446972232,1.216237,567,1.13109,0.48032775,0.312913907,0.00,1.14,1.00
"{CA_pres=1,EyeAp_pres=1} ", {Body_pres=1},15.76%,76.09%,0.207092673,1.20783,471,1.547598,0.43626505,0.231905465,0.00,1.13,1.00
"{CA_pres=1,Cheeks_pres=0,EyeAp_pres=1} ", {Eyebrows_pres=1},13.18%,66.44%,0.198394112,1.267355,394,1.41767,0.40872799,0.223103058,0.00,1.17,1.00
"{Body_pres=0,Eyebrows_pres=0} ", {Head_pres=0},4.15%,23.57%,0.175978588,1.859185,124,1.142548,0.27772131,0.158770807,0.00,1.49,1.00
"{Body_pres=1,EyeAp_pres=0} ", {Eyebrows_pres=0},14.82%,59.78%,0.247909,1.256643,443,1.303602,0.43156362,0.25755814,0.00,1.17,1.00
"{CA_pres=0,Eyebrows_pres=0,Head_pres=0} ", {Body_pres=0},3.61%,65.85%,0.054867849,1.779716,108,1.844931,0.25358541,0.092943201,0.00,1.44,1.00
"{CA_pres=1,EyeAp_pres=1,Eyegaze_pres=1} ", {Body_pres=1},15.26%,76.13%,0.200401472,1.208408,456,1.549958,0.42936464,0.225074038,0.00,1.13,1.00
"{Body_pres=0,CA_pres=0,Eyebrows_pres=0} ", {Head_pres=0},3.61%,24.94%,0.144864503,1.967082,108,1.163373,0.26660004,0.153409091,0.00,1.54,1.00
"{Body_pres=1,Cheeks_pres=0,EyeAp_pres=0} ", {Eyebrows_pres=0},14.35%,59.83%,0.239879558,1.257663,429,1.305178,0.42486203,0.250877193,0.00,1.17,1.00
