Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
"{NMF_EyeAp=0,NMF_Eyebrows=0,NMF_Eyegaze=0} ", {NMF_Body=0},0.003345601,0.66666667,0.005018401,1.801688,10,1.88993,0.07763844,0.0090009,0.02,1,0.9812222
"{NMF_CA=1,NMF_Head=1,Fully_Lex=0} ", {NMF_Cheeks=1},0.009033121,0.03958944,0.228169957,1.460899,27,1.013005,0.11487594,0.036684783,0.02,1,0.9814699
"{NMF_EyeAp=1,NMF_Eyegaze=0,NMF_Head=0} ", {NMF_Eyebrows=0},0.003680161,0.78571429,0.004683841,1.651547,11,2.446526,0.07796126,0.007719298,0.02,1,0.9815367
"{NMF_Body=0,NMF_Eyebrows=0,Fully_Lex=1} ", {NMF_Eyegaze=0},0.005352961,0.05405405,0.099029776,1.737286,16,1.024251,0.09643455,0.042895442,0.02,1,0.9815849
"{NMF_CA=0,NMF_Eyegaze=0,Fully_Lex=0} ", {NMF_Eyebrows=0},0.007025761,0.67741935,0.010371362,1.423915,21,1.625192,0.10002041,0.014664804,0.02,1,0.9816125
"{NMF_CA=1,NMF_Cheeks=1} ", {Partly_Lex=1},0.007360321,0.64705882,0.011375042,1.422102,22,1.544162,0.10230898,0.016034985,0.02,1,0.9816145
"{NMF_CA=1,NMF_Cheeks=1,NMF_Head=1} ", {Partly_Lex=1},0.007360321,0.64705882,0.011375042,1.422102,22,1.544162,0.10230898,0.016034985,0.02,1,0.9816145
"{NMF_Body=0,NMF_Cheeks=0,Partly_Lex=1} ", {NMF_Eyegaze=0},0.006691201,0.05012531,0.133489461,1.611017,20,1.020014,0.10382503,0.042372881,0.02,1,0.9816402
"{NMF_Body=1,NMF_CA=1} ", {NMF_Cheeks=1},0.009702242,0.03892617,0.24924724,1.436424,29,1.012306,0.11805309,0.036386449,0.02,1,0.9822752
"{NMF_Eyegaze=0,NMF_Head=0,Partly_Lex=0} ", {NMF_Body=0},0.00267648,0.72727273,0.003680161,1.965478,8,2.309914,0.07252973,0.007213706,0.02,1,0.9824858
"{NMF_EyeAp=0,NMF_Eyegaze=0,Fully_Lex=0} ", {NMF_Body=0},0.00267648,0.72727273,0.003680161,1.965478,8,2.309914,0.07252973,0.007213706,0.02,1,0.9824858
"{NMF_EyeAp=0,Partly_Lex=0,Fully_Lex=0} ", {NMF_CA=1},0.015724323,0.45192308,0.034794246,1.295108,47,1.187888,0.14270495,0.042727273,0.02,0.9791667,0.9825709
"{NMF_Body=1,NMF_EyeAp=1,Non_Lex=0} ", {NMF_Cheeks=1},0.013047842,0.03597786,0.362663098,1.327627,39,1.00921,0.13161563,0.034635879,0.02,1,0.9825886
