Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine,jaccard,Fisher,hlift,hconf
{NMF_Body_Shoulder=1} , {NMF_Body_LEAN=0},5.00%,86%,0.057878889,1.681173,148,3.398648,0.28851876,0.095730918,0,1.4368932,1
{NMF_CA=1} , {NMF_Eyebrows_Furrowed=1},13.8%,40%,0.348946136,1.390693,412,1.183431,0.43782567,0.278378378,0,1.2716049,1
{NMF_Eyebrows_Furrowed=1} , {NMF_CA=1},13.80%,49%,0.284041485,1.390693,412,1.264862,0.43782567,0.278378378,0,1.2716049,1
{NMF_Eyegaze_Inter=1} , {NMF_Eyegaze_dn=0},11.30%,83%,0.136500502,1.332356,337,2.184008,0.38758067,0.175155925,0,1.229927,1
{NMF_Eyegaze_dn=0} , {NMF_Eyegaze_Inter=1},11.30%,18%,0.619939779,1.332356,337,1.055452,0.38758067,0.175155925,0,1.229927,1
{NMF_Head_Nod=1} , {NMF_Head_TILT=0},6.60%,87%,0.075945132,1.437236,198,3.077087,0.30855573,0.107433532,0,1.2857143,1
{NMF_Head_TILT=0} , {NMF_Head_Nod=1},6.60%,11%,0.606891937,1.437236,198,1.037274,0.30855573,0.107433532,0,1.2857143,1
{NMF_Head_back=1} , {NMF_Head_forward=0},10.90%,90%,0.121445299,1.25875,325,2.758087,0.36995459,0.150184843,0,1.1732852,1
{NMF_Head_forward=0} , {NMF_Head_back=1},10.90%,15%,0.711274674,1.25875,325,1.037095,0.36995459,0.150184843,0,1.1732852,1
{NMF_Head_Nod=1} , {NMF_Head_latral=0},6.00%,78%,0.075945132,1.547061,178,2.284554,0.3035294,0.113810742,0,1.3484848,1
{NMF_Head_latral=0} , {NMF_Head_Nod=1},6.00%,12%,0.506858481,1.547061,178,1.047078,0.3035294,0.113810742,0,1.3484848,1
{NMF_Head_Nod=1} , {NMF_Head_forward=0},7.10%,94%,0.075945132,1.319217,213,4.681475,0.3066091,0.09953271,0,1.2102273,1
{NMF_Head_forward=0} , {NMF_Head_Nod=1},7.10%,10%,0.711274674,1.319217,213,1.026942,0.3066091,0.09953271,0,1.2102273,1
{NMF_Body_back=1} , {NMF_Head_back=1},2.30%,35%,0.067246571,2.867618,70,1.348011,0.25914731,0.141700405,0,2,1
{NMF_Head_back=1} , {NMF_Body_back=1},2.30%,19%,0.121445299,2.867618,70,1.155596,0.25914731,0.141700405,0,2,1
{NMF_Head_PUSH=1} , {NMF_CA=1},6.50%,56%,0.115088658,1.607831,193,1.483196,0.32220771,0.161641541,0,1.3785714,1
{NMF_CA=1} , {NMF_Head_PUSH=1},6.5%,19%,0.348946136,1.607831,193,1.085838,0.32220771,0.161641541,0,1.3785714,1
{NMF_Body_Twist=1} , {NMF_Head_TURN=1},6.60%,61%,0.108397457,1.555981,197,1.554266,0.32023758,0.152123552,0,1.3493151,1
{NMF_Head_TURN=1} , {NMF_Body_Twist=1},6.60%,17%,0.390766143,1.555981,197,1.072494,0.32023758,0.152123552,0,1.3493151,1
{NMF_Eyegaze_camera=1} , {NMF_CA=0},15.60%,79%,0.197724992,1.208505,465,1.636724,0.43359852,0.224420849,0,1.1369193,1
{NMF_CA=0} , {NMF_Eyegaze_camera=1},15.60%,24%,0.651053864,1.208505,465,1.054171,0.43359852,0.224420849,0,1.1369193,1
{NMF_Body_back=1} , {NMF_Body_latral=0},5.90%,87%,0.067246571,1.390151,175,2.889016,0.28529036,0.092202318,0,1.2411348,1
{NMF_Body_latral=0} , {NMF_Body_back=1},5.90%,9%,0.62629642,1.390151,175,1.028942,0.28529036,0.092202318,0,1.2411348,1
{NMF_Head_latral=1} , {NMF_Body_Twist=1},7.50%,15%,0.493141519,1.408205,225,1.052219,0.32558266,0.143038779,0,1.25,1
{NMF_Body_Twist=1} , {NMF_Head_latral=1},7.50%,69%,0.108397457,1.408205,225,1.65881,0.32558266,0.143038779,0,1.25,1
{NMF_Head_back=1} , {NMF_Eyegaze_up=1},3.00%,25%,0.121445299,2.187583,89,1.176335,0.25521976,0.146141215,0,1.6481481,1
{NMF_Eyegaze_up=1} , {NMF_Head_back=1},3.00%,27%,0.112077618,2.187583,89,1.196406,0.25521976,0.146141215,0,1.6481481,1
