"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine","jaccard","Fisher","hlift","hconf"
"{CA_pres=0,EyeAp_pres=1} "," {Eyegaze_pres=0}","0.016728003","0.04336513","0.385747742","1.393746"," 50","1.012806","0.15269115","0.041806020","0.001808067038288802908310715089613","1.0638298","0.9981919"
"{Eyegaze_pres=0,Head_pres=1} "," {EyeAp_pres=1}","0.018735363","0.77777778","0.024088324","1.311951"," 56","1.832218","0.15677973","0.031319911","0.000652465874304646227012371983989","1.0769231","0.9993475"
"{Cheeks_pres=0,Eyegaze_pres=0} "," {EyeAp_pres=1}","0.023084644","0.75000000","0.030779525","1.265096"," 69","1.628638","0.17089262","0.038440111","0.001012664278277939245570538062680","1.0615385","0.9989873"
"{Cheeks_pres=0,EyeAp_pres=1} "," {Eyegaze_pres=0}","0.023084644","0.04009297","0.575777852","1.288579"," 69","1.009354","0.17247144","0.039541547","0.000548547570855058026079165145461","1.0781250","0.9994515"
"{CA_pres=1,Head_pres=0} "," {Body_pres=0}","0.014386082","0.60563380","0.023753764","1.636745"," 43","1.597441","0.15344817","0.037918871","0.000038537153141937072815814691040","1.1944444","0.9999615"
"{CA_pres=1,Head_pres=0} "," {Eyebrows_pres=1}","0.015389762","0.64788732","0.023753764","1.235823"," 46","1.351114","0.13790949","0.028894472","0.022570756210981621908695515799081","0.9787234","0.9774292"
"{EyeAp_pres=0,Head_pres=0} "," {Body_pres=0}","0.033790565","0.62732919","0.053864169","1.695377","101","1.690437","0.23934859","0.086620926","0.000000000008937223928398954206874","1.3648649","1.0000000"
"{Body_pres=0,EyeAp_pres=0} "," {Head_pres=0}","0.033790565","0.21218487","0.159250585","1.673405","101","1.108384","0.23779258","0.133952255","0.000000006452884494609164211555152","1.3289474","1.0000000"
"{Eyebrows_pres=0,Head_pres=0} "," {Body_pres=0}","0.041485447","0.65608466","0.063231850","1.773090","124","1.831778","0.27121470","0.105892400","0.000000000000000162339506047453362","1.4588235","1.0000000"
"{Body_pres=0,Eyebrows_pres=0} "," {Head_pres=0}","0.041485447","0.23574144","0.175978588","1.859185","124","1.142548","0.27772131","0.158770807","0.000000000000009895800809598365121","1.4939759","1.0000000"
"{Eyebrows_pres=1,Head_pres=0} "," {Body_pres=0}","0.036801606","0.57894737","0.063566410","1.564624","110","1.496194","0.23995971","0.092748735","0.000000001225477726825400348392367","1.2941176","1.0000000"
"{Body_pres=0,Eyebrows_pres=1} "," {Head_pres=0}","0.036801606","0.18965517","0.194044831","1.495724","110","1.077568","0.23461679","0.129564193","0.000000817122865475021599793170601","1.2087912","0.9999992"
"{EyeAp_pres=1,Head_pres=0} "," {Body_pres=0}","0.044496487","0.61009174","0.072934092","1.648792","133","1.615705","0.27086060","0.111670865","0.000000000000069932610816439831356","1.3711340","1.0000000"
"{Body_pres=0,EyeAp_pres=1} "," {Head_pres=0}","0.044496487","0.21111111","0.210772834","1.664937","133","1.106875","0.27218348","0.151826484","0.000000000008226456787793074604785","1.3711340","1.0000000"
"{Body_pres=0,Head_pres=0} "," {CA_pres=0}","0.063900970","0.81623932","0.078287053","1.253720","191","1.898916","0.28304404","0.096028155","0.000000005714477564723058801952893","1.1369048","1.0000000"
"{CA_pres=0,Head_pres=0} "," {Body_pres=0}","0.063900970","0.62012987","0.103044496","1.675921","191","1.658400","0.32725060","0.156173344","0.000000000000000000004474033691674","1.4360902","1.0000000"
"{Body_pres=0,CA_pres=0} "," {Head_pres=0}","0.063900970","0.23638614","0.270324523","1.864270","191","1.143512","0.34515016","0.191767068","0.000000000000000000000000181611854","1.5785124","1.0000000"
"{Eyegaze_pres=1,Head_pres=0} "," {Body_pres=0}","0.073603212","0.61452514","0.119772499","1.660774","220","1.634287","0.34962591","0.176848875","0.000000000000000000000011467098874","1.4379085","1.0000000"
"{Body_pres=0,Eyegaze_pres=1} "," {Head_pres=0}","0.073603212","0.20892688","0.352291736","1.647711","220","1.103819","0.34824821","0.181518152","0.000000000000000000000220353126901","1.4285714","1.0000000"
"{Cheeks_pres=0,Head_pres=0} "," {Body_pres=0}","0.078287053","0.61904762","0.126463700","1.672996","234","1.653689","0.36190318","0.187200000","0.000000000000000000000000059604606","1.4625000","1.0000000"
"{Body_pres=0,Cheeks_pres=0} "," {Head_pres=0}","0.078287053","0.21448213","0.365005018","1.691523","234","1.111626","0.36390153","0.189320388","0.000000000000000000000000009387612","1.4716981","1.0000000"
"{EyeAp_pres=0,Head_pres=0} "," {Eyebrows_pres=0}","0.034125125","0.63354037","0.053864169","1.331682","102","1.430596","0.21317557","0.068872384","0.000025430373906638536287729002172","1.1208791","0.9999746"
"{Eyebrows_pres=0,Head_pres=0} "," {EyeAp_pres=0}","0.034125125","0.53968254","0.063231850","1.325482","102","1.287895","0.21267869","0.078220859","0.000099386851729601737442942877010","1.1086957","0.9999006"
"{EyeAp_pres=0,Head_pres=0} "," {CA_pres=0}","0.043492807","0.80745342","0.053864169","1.240225","130","1.812269","0.23225175","0.065756196","0.000005990141376953840200107054281","1.1016949","0.9999940"
"{CA_pres=0,EyeAp_pres=0} "," {Head_pres=0}","0.043492807","0.16393443","0.265306122","1.292876","130","1.044418","0.23713036","0.124760077","0.000207806215892503387239823031685","1.0924370","0.9997922"
"{Eyebrows_pres=0,Head_pres=0} "," {CA_pres=0}","0.054867849","0.86772487","0.063231850","1.332800","164","2.638033","0.27042169","0.083206494","0.000000000003752165422374715679022","1.1884058","1.0000000"
"{CA_pres=0,Eyebrows_pres=0} "," {Head_pres=0}","0.054867849","0.16269841","0.337236534","1.283128","164","1.042876","0.26533466","0.134096484","0.000021804248813148188735049765041","1.1081081","0.9999782"
"{CA_pres=0,Eyebrows_pres=1} "," {Head_pres=0}","0.048176648","0.15351812","0.313817330","1.210727","144","1.031566","0.24151353","0.122762148","0.002026269117653380340965396655406","1.0359712","0.9979737"
"{EyeAp_pres=1,Head_pres=0} "," {CA_pres=0}","0.059551690","0.81651376","0.072934092","1.254142","178","1.901756","0.27328786","0.089627392","0.000000019134848708848842717758498","1.1337580","1.0000000"
"{CA_pres=0,EyeAp_pres=1} "," {Head_pres=0}","0.059551690","0.15437988","0.385747742","1.217524","178","1.032617","0.26926862","0.131462334","0.000227842013930558358368941296312","1.0658683","0.9997722"
"{Body_pres=1,Head_pres=0} "," {CA_pres=0}","0.039143526","0.80689655","0.048511208","1.239370","117","1.807042","0.22025737","0.059270517","0.000019188138502356576566877655043","1.0934579","0.9999808"
"{Eyegaze_pres=1,Head_pres=0} "," {CA_pres=0}","0.097356976","0.81284916","0.119772499","1.248513","291","1.864518","0.34864228","0.144560358","0.000000000000683314833228636124693","1.1501976","1.0000000"
"{CA_pres=0,Eyegaze_pres=1} "," {Head_pres=0}","0.097356976","0.15486961","0.628638341","1.221386","291","1.033215","0.34483393","0.147941027","0.000000000466265268659080262198327","1.1235521","1.0000000"
"{Cheeks_pres=0,Head_pres=0} "," {CA_pres=0}","0.102709936","0.81216931","0.126463700","1.247469","307","1.857770","0.35794892","0.152206247","0.000000000000168383108170211779199","1.1541353","1.0000000"
"{CA_pres=0,Cheeks_pres=0} "," {Head_pres=0}","0.102709936","0.16166403","0.635329542","1.274970","307","1.041589","0.36187309","0.155758498","0.000000000000002391932514327462689","1.1762452","1.0000000"
"{Body_pres=0,CA_pres=1} "," {EyeAp_pres=0}","0.050184008","0.50335570","0.099698896","1.236261","150","1.193692","0.24907942","0.109890110","0.000255495349179076501090757123080","1.0714286","0.9997445"
"{Body_pres=0,CA_pres=1} "," {Eyebrows_pres=1}","0.068584811","0.68791946","0.099698896","1.312183","205","1.524428","0.29999308","0.123493976","0.000000001135937991931184918767937","1.1714286","1.0000000"
"{EyeAp_pres=0,Eyebrows_pres=1} "," {CA_pres=1}","0.074941452","0.42994242","0.174305788","1.232117","224","1.142084","0.30386942","0.167164179","0.000015094617255005488655472678516","1.0926829","0.9999849"
"{CA_pres=1,Eyebrows_pres=0} "," {Body_pres=1}","0.107393777","0.77536232","0.138507862","1.230780","321","1.647201","0.36356302","0.162449393","0.000000000007245162337393342506277","1.1382979","1.0000000"
"{CA_pres=1,EyeAp_pres=1} "," {Eyebrows_pres=1}","0.135496822","0.65428110","0.207092673","1.248019","405","1.376102","0.41122092","0.227400337","0.000000000000160617679975974189601","1.1571429","1.0000000"
"{Body_pres=1,Eyebrows_pres=1} "," {CA_pres=1}","0.141853463","0.42958460","0.330210773","1.231091","424","1.141368","0.41789303","0.264009963","0.000000000072174702878501593929401","1.1367292","1.0000000"
"{Eyebrows_pres=1,Head_pres=1} "," {CA_pres=1}","0.195048511","0.42338417","0.460689194","1.213322","583","1.129095","0.48647377","0.317365269","0.000000000000002027463026506662661","1.1409002","1.0000000"
"{CA_pres=1,EyeAp_pres=1} "," {Body_pres=1}","0.157577785","0.76090468","0.207092673","1.207830","471","1.547598","0.43626505","0.231905465","0.000000000000005983969961038156032","1.1349398","1.0000000"
"{Body_pres=0,Eyebrows_pres=0} "," {CA_pres=0}","0.144864503","0.82319392","0.175978588","1.264402","433","1.973609","0.42798013","0.212359000","0.000000000000000000001201686193753","1.1863014","1.0000000"
"{Body_pres=1,EyeAp_pres=0} "," {Eyebrows_pres=0}","0.148210104","0.59784076","0.247909000","1.256643","443","1.303602","0.43156362","0.257558140","0.000000000000010804878990041259741","1.1657895","1.0000000"
"{Body_pres=1,Eyebrows_pres=0} "," {EyeAp_pres=0}","0.148210104","0.49441964","0.299765808","1.214314","443","1.172594","0.42423298","0.265269461","0.000000000162354371404542769503042","1.1272265","1.0000000"
"{CA_pres=0,EyeAp_pres=0} "," {Eyebrows_pres=0}","0.165941787","0.62547289","0.265306122","1.314725","496","1.399780","0.46708432","0.288539849","0.000000000000000000000040001062483","1.2246914","1.0000000"
