Body_Movement,CA,Cheeks,Eye_Aperture,Eyebrows,Eyegaze,Head_Movement
null,null,null,null,Furrowed,+sr & +dn,TURN+sr
LEAN+forward,CD:MAN2,null,null,Furrowed,+sr & +dn,PUSH+forward
LEAN+forward,CD:MAN2,null,null,Furrowed,+sr & +dn,PUSH+forward
LEAN+forward > LEAN+backward,CA:MAN2,null,null,Furrowed,+sr & +dn,PUSH+backward
LEAN+backward,CA:MAN2,null,null,Furrowed,+sr & +dn,PUSH+backward
null,CA:MAN2,null,null,Furrowed,+sr & +dn,PUSH+backward
null,null,null,// > SQ > //,Furrowed,+sr & +dn,TURN+sr
LEAN+backward,CA:BOY,null,SQ > CLOSED,Furrowed,+sr & +dn,PUSH+backward
LEAN+backward,null,null,SQ,Furrowed,+sr & +dn,TURN+sr
null,null,null,SQ,Furrowed,+sr & +dn,TURN+sr
null,null,null,SQ,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,null,null,SQ > WD,Furrowed,+sr & +dn,TURN+sr
LEAN+forward,CA:OWL,null,WD,Furrowed,+sr & +dn,PUSH+forward
LEAN+sr,CA:BOY,null,SQ,Furrowed,+sr & +dn,TURN+sr > TURN+sl > TURN+sr
TWIST+sr,CA:WOMAN,null,SQ > //,Furrowed,+sr & +dn,null
null,null,null,// > SQ,Furrowed,+sr & +dn,TURN+sr
null,CA:WOMAN,null,SQ,Furrowed,+sr & +dn,Headnod
TWIST+sr,CA:WOMAN,null,SQ,Furrowed,+sr & +dn,TURN+sr
LEAN+backward,null,null,SQ,Furrowed,+sr & +dn,TILT+forward
TWIST+sr,CA:WOMAN,2 x Puffed,SQ > //,Furrowed,+sr & +dn,Headnod
null,CA:WOMAN,null,//,Furrowed,+sr & +dn,null
null,null,null,SQ+,Furrowed,+sr & +dn,PUSH+backward
null,null,null,null,Furrowed,+sr & +dn,TURN+sr
null,null,null,CLOSED,Furrowed,+sr & +dn,TILT+forward
SHOULDERS+hunched,CA:WOMAN,null,CLOSED,Furrowed,+sr & +dn,Headshake
LEAN+forward > LEAN+sr,CA:SUPERVISOR,null,SQ+,Furrowed,+sr & +dn,TURN+sr
LEAN+sr,CA:SUPERVISOR,null,SQ+,Furrowed,+sr & +dn,TURN+sr
LEAN+forward,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr
LEAN+forward,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr
LEAN+forward,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr
LEAN+forward > TWIST+sr,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr & PUSH+forward
TWIST+sr > LEAN+forward,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr & PUSH+forward
LEAN+forward,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr & PUSH+forward
LEAN+forward,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr & PUSH+forward
TWIST+sr,CA:BOY,null,WD,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,null,null,SQ,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,null,null,SQ,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,null,null,SQ,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,null,null,SQ,Furrowed,+sr & +dn,TURN+sr
TWIST+sr > LEAN+forward,CA:BOY,null,SQ,Furrowed,+sr & +dn,TURN+sr > Headshake
TWIST+sr,CA:BOY,null,null,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,CA:BOY,null,null,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,CA:BOY,null,null,Furrowed,+sr & +dn,TURN+sr
TWIST+sr,null,null,null,Furrowed,+sr & +dn,TURN+sr
LEAN+sr,null,null,SQ,Furrowed,+sr & +dn,TILT+sr
LEAN+forward,CA:BOY,null,SQ,Furrowed,+sr & +dn,TURN+sr
LEAN+forward,CA:BOY,null,null,Furrowed,+sr & +dn,TURN+sr
LEAN+forward,CD:BOY,null,SQ > //,Furrowed,+sr & +dn,PUSH+forward > PUSH+forward
LEAN+sl > LEAN+backward,CA:BOY,null,//,Furrowed,+sr & +dn,TILT+sr > TILT+backward
LEAN+sr,CA:BOY  ,null,SQ > WD,Furrowed,+sr,TURN+sr
TWIST+sr,null,null,SQ,Furrowed,+sr,TURN+sr
LEAN+sl > LEAN+sr,CA:DOG ,null,SQ+,Furrowed,+sr,TURN+sr
LEAN+sr,null,null,SQ+,Furrowed,+sr,TURN+sr
LEAN+sr,null,null,SQ+,Furrowed,+sr,TURN+sr
TWIST+sr,null,null,SQ+,Furrowed,+sr,TURN+sr
TWIST+sr,null,null,SQ+,Furrowed,+sr,TURN+sr
null,CD:WOMAN,null,SQ,Furrowed,+sr,TURN+sr
SHOULDERS+hunched,null,null,null,Furrowed,+sr,TURN+sr
LEAN+sl,null,null,//,Furrowed,+sr,null
null,CA:WOMAN,null,SQ+,Furrowed,+sr,TURN+sr
LEAN+sr,null,null,//,Furrowed,+sr,TURN+sr
LEAN+sr,CA:WOMAN,null,null,Furrowed,+sr,Headshake
LEAN+sl > LEAN+sr > LEAN+forward,CA:WOMAN,null,WD+ > //,Furrowed,+sr,TURN+sr
LEAN+sr,null,null,null,Furrowed,+sr,TURN+sr
null,null,null,null,Furrowed,+sr,null
null,null,null,null,Furrowed,+sr,TURN+sr
null,null,null,null,Furrowed,+sr,TURN+sr
LEAN+backward,null,null,SQ+,Furrowed,+sr,TILT+sr
LEAN+sr,null,null,SQ+,Furrowed,+sr,TILT+sr > TURN+sr
TWIST+sr,CA:POLICE,null,//,Furrowed,+sr,TURN+sr
null,null,null,//,Furrowed,+sr,TILT+sl & TURN+sr
null,null,null,null,Furrowed,+sr,TURN+sr
null,CA:ENGLISH MAN,null,//,Furrowed,+sr,PUSH+forward
SHOULDERS+hunched,CD:HELEN,null,SQ+,Furrowed,+sr,TILT+forward > TURN+sr
SHOULDERS+hunched,CD:HELEN,null,SQ+,Furrowed,+sr,TURN+sr
null,CA:FROG,null,SQ,Furrowed,+sr,null
null,null,null,SQ+ > //,Furrowed,+sr,TURN+sr
null,CA:BOY,null,SQ+ > // > SQ,Furrowed,+sr,PUSH+backward > TURN+sr
null,CA:BOY,null,SQ+,Furrowed,+sr,TURN+sr
null,null,null,// > SQ,Furrowed,+sr,TURN+sr
null,null,null,SQ,Furrowed,+sr,null
null,CA:BOY,null,null,Furrowed,+sr,TILT+sr
null,null,null,//,Furrowed,+sr,TILT+sr
LEAN+sl,CA:BOY,null,// > SQ,Furrowed,+sr,TURN+sr
LEAN+backward,CA:BOY,null,//,Furrowed,+sr,PUSH+backward > TURN+sr
null,null,null,SQ+,Furrowed,+sr,Headnod & TURN+sr
null,null,null,SQ+ > // > SQ,Furrowed,+sr,Headnod & TURN+sr
null,null,null,SQ > //,Furrowed,+sr,TURN+sr
null,null,null,// > SQ,Furrowed,+sr,TURN+sr
TWIST+sr,CA:WOMAN,null,// > SQ,Furrowed,+sr,TURN+sr
TWIST+sr,null,null,SQ,Furrowed,+sr,TURN+sr
null,null,null,SQ,Furrowed,+sr,TURN+sr
LEAN+sl,CA:WOMAN,null,SQ,Furrowed,+sr,TURN+sr
null,CA:WOMAN,null,SQ+ > //,Furrowed,+sr,Headnod
null,null,null,SQ+,Furrowed,+sr,null
LEAN+sl,CA:WOMAN,null,SQ,Furrowed,+sr,TURN+sr
LEAN+sl,CA:WOMAN,null,SQ,Furrowed,+sr,TURN+sr
LEAN+sl > TWIST+sr,CA:WOMAN,null,SQ > // > SQ,Furrowed,+sr,TURN+sr > TILT+sr
TWIST+sr,null,null,SQ,Furrowed,+sr,TURN+sr
TWIST+sr,null,null,SQ,Furrowed,+sr,TURN+sr
LEAN+forward > LEAN+backward,null,null,// > SQ,Furrowed,+sr,TURN+sr > TILT+forward
LEAN+sl,null,null,SQ+,Furrowed,+sr,Headnod
LEAN+sl,null,null,SQ+ > //,Furrowed,+sr,Headnod
LEAN+backward,CA:SUPERVISOR,null,SQ+,Furrowed,+sr,null
LEAN+backward,CA:SUPERVISOR,null,SQ+,Furrowed,+sr,null
LEAN+forward,CA:BOY,null,SQ,Furrowed,+sr,TURN+sr
LEAN+forward > LEAN+backward,null,null,SQ,Furrowed,+sr,TURN+sr
SHOULDERS+hunched,CA:HELEN,null,SQ,Furrowed,+sl > +up,PUSH+backward
LEAN+sl > LEAN+forward,CA:BOY,null,// > WD,Furrowed,+sl > +sr > +sr & +dn,TURN+sl > TURN+sr > TILT+forward > TURN+sr
TWIST+sr,CA:BOY,null,SQ,Furrowed,+sl > +sr > +sr & +dn,TURN+sr
SHOULDERS+hunched,CA:HELEN,null,SQ,Furrowed,+sl > +sr & +up,PUSH+forward > TURN+sr
LEAN+forward,CA:BOY,null,null,Furrowed,+sl > +sr & +dn,TURN+sl > TURN+sr > TILT+forward
TWIST+sr,CA:BOY,null,null,Furrowed,+sl > +sr & +dn,TURN+sl > TURN+sr
LEAN+backward,CA:WOMAN,2 x Sucked,SQ,Furrowed,+sl > +sr,TURN+sl > TURN+sr
null,null,null,null,Furrowed,+sl > +sr,TURN+sl > TURN+sr
TWIST+sl & LEAN+sr,CA:BOY ,null,SQ,Furrowed,+sl > +sr,TURN+sl > TURN+sr
LEAN+forward,CA:BOY,null,SQ,Furrowed,+sl > +sr,TURN+sl > TURN+sr
null,null,null,null,Furrowed,+sl > +sl & +up,TURN+sl
null,CA:FRIEND,null,null,Furrowed,+sl > +sl & +dn > +dn,TURN+sl > TILT+forward
null,CD:FRIEND,null,null,Furrowed,+sl > +sl & +dn,TILT+forward
LEAN+sl,CA:MAN,2 x Puffed,null,Furrowed,+sl > +sl & +dn,PUSH+forward > TILT+forward
null,null,null,SQ,Furrowed,+sl > +interlocutor1,Headnod > TURN+sr
LEAN+sl,CA:BOY,null,CLOSED > SQ > CLOSED > SQ > //,Furrowed,+sl > +interlocutor1,TILT+backward
LEAN+sr,null,null,//,Furrowed,+sl > +dn,TURN+sl
null,CD:FRIEND,null,null,Furrowed,+sl > +dn,TILT+forward
null,null,null,SQ,Furrowed,+sl > +dn,TILT+sl
null,null,null,//,Furrowed,+sl > +dn,TURN+sl
LEAN+sl > LEAN+forward,CA:BOY,null,WD,Furrowed,+sl > +dn,TURN+sl > Headshake
LEAN+sl,null,null,null,Furrowed,+sl > +dn,TURN+sl > TILT+forward
null,null,null,null,Furrowed,+sl > +dn,TURN+sr
LEAN+sl,CA:BOY,null,null,Furrowed,+sl > +dn,TURN+sl
TWIST+sl,CA:BOY,null,null,Furrowed,+sl > +dn,TURN+sl
TWIST+sr > LEAN+forward,null,null,SQ,Furrowed,+sl > +dn,PUSH+forward > TURN+sl
null,null,null,WD,Furrowed,+sl > +camera > +sr,TURN+sl > TURN+sr
null,CA:HELEN,null,//,Furrowed,+sl > +camera > +sr,TURN+sl > TURN+sr
null,null,null,//,Furrowed,+sl > +camera,TURN+sl
LEAN+forward,CA:DOG,null,SQ,Furrowed,+sl > +camera,TURN+sl
LEAN+sr,null,null,null,Furrowed,+sl > +camera,Headnod
LEAN+sr,null,null,SQ,Furrowed,+sl > +camera,TURN+sl
LEAN+sl,null,null,SQ,Furrowed,+sl > +camera,TURN+sl
TWIST+sr,null,null,null,Furrowed,+sl & +up > +sr & +dn,TURN+sl > TURN+sr
TWIST+sl,null,null,null,Furrowed,+sl & +up > +sr,TURN+sl
TWIST+sl,null,null,SQ,Furrowed,+sl & +up > +sl & +dn,Headnod > TURN+sl
null,CA:PEOPLE IN CAR,null,SQ,Furrowed,+sl & +up > +sl,TURN+sl
LEAN+forward,CA:DOG,null,WD > SQ,Furrowed,+sl & +up > +sl,TURN+sl > TILT+forward
LEAN+sr,null,null,SQ,Furrowed,+sl & +up > +camera,TILT+backward > TILT+sl
TWIST+sl,CA:DOG,null,SQ+,Furrowed,+sl & +up,TURN+sl > TILT+backward
TWIST+sl,null,null,SQ+,Furrowed,+sl & +up,TILT+backward
TWIST+sl,null,null,SQ,Furrowed,+sl & +up,TILT+backward
null,CA:MOTHER,null,SQ,Furrowed,+sl & +up,TILT+sr
LEAN+sl,CA:PEOPLE IN CAR,null,SQ,Furrowed,+sl & +up,PUSH+forward
null,CA:PEOPLE IN CAR,null,SQ,Furrowed,+sl & +up,TURN+sl
null,CA:HELEN,null,SQ,Furrowed,+sl & +up,TURN+sr & TURN+sl
null,CA:HELEN,null,SQ > //,Furrowed,+sl & +up,TURN+sl
TWIST+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,CA:BOY,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,CA:BOY,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
SHOULDERS+hunched,null,null,null,Furrowed,+sl & +up,TURN+sl
SHOULDERS+hunched,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
TWIST+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
TWIST+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
TWIST+sl,CA:BOY,null,null,Furrowed,+sl & +up,TURN+sl
TWIST+sl,CA:BOY,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl > LEAN+sr,null,null,null,Furrowed,+sl & +up,TURN+sl
TWIST+sl > LEAN+sr,CA:DOG,null,SQ,Furrowed,+sl & +up,TILT+backward
LEAN+sr,CA:DOG,null,SQ,Furrowed,+sl & +up,TILT+backward
LEAN+sr > SHOULDERS+hunched,CA:DOG,null,SQ,Furrowed,+sl & +up,TILT+backward
SHOULDERS+hunched,CA:DOG,null,SQ,Furrowed,+sl & +up,TILT+backward
TWIST+sl,CA:DOG,null,SQ,Furrowed,+sl & +up,TILT+backward
LEAN+sr,CA:BOY,null,SQ,Furrowed,+sl & +up,TURN+sl > TILT+backward
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,null,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,CA:BEE SWARM,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+sl,CA:BEE SWARM,null,null,Furrowed,+sl & +up,TURN+sl
LEAN+backward,null,null,null,Furrowed,+sl & +up,TILT+backward
LEAN+backward,null,null,null,Furrowed,+sl & +up,TILT+backward
LEAN+backward,null,null,null,Furrowed,+sl & +up,TILT+backward
LEAN+sl,null,null,null,Furrowed,+sl & +up,TILT+backward & TURN+sl
LEAN+sr,null,null,SQ,Furrowed,+sl & +up,TILT+backward
LEAN+sr,null,null,SQ,Furrowed,+sl & +up,TILT+backward
LEAN+sr,null,null,SQ,Furrowed,+sl & +up,TILT+backward
LEAN+sr,null,null,SQ,Furrowed,+sl & +up,TILT+backward
LEAN+sl > LEAN+sr,null,null,SQ > //,Furrowed,+sl & +dn > +up,TURN+sl > PUSH+backward
LEAN+forward,CA:BOY,null,null,Furrowed,+sl & +dn > +sr & +dn > +sl & +dn,TILT+forward
LEAN+forward,null,null,null,Furrowed,+sl & +dn > +sr & +dn,TILT+forward
TWIST+sl,null,null,WD,Furrowed,+sl & +dn > +sr & +dn,PUSH+forward > TURN+sr
null,CA:WOMAN,null,// > SQ+ > //,Furrowed,+sl & +dn > +sr,null
TWIST+sr,CA:BOY,null,null,Furrowed,+sl & +dn > +sr,TILT+forward > TURN+sr
LEAN+sl,null,null,null,Furrowed,+sl & +dn > +sl & +up,TURN+sl
LEAN+backward,null,null,null,Furrowed,+sl & +dn > +sl & +up,TILT+backward
null,null,null,null,Furrowed,+sl & +dn > +sl,TILT+sr
SHOULDERS+hunched,CA:FRIEND,null,null,Furrowed,+sl & +dn > +sl,PUSH+forward
null,CD:MAN,null,null,Furrowed,+sl & +dn > +sl,TURN+sl > TILT+sr
null,null,null,null,Furrowed,+sl & +dn > +sl,TILT+sl & TILT+backward
null,CA:MAN,null,null,Furrowed,+sl & +dn > +sl,TILT+forward
LEAN+sr,null,null,null,Furrowed,+sl & +dn > +sl,TURN+sl
LEAN+backward,null,null,SQ > //,Furrowed,+sl & +dn > +nd,TURN+sl
null,CA:BOY,null,null,Furrowed,+sl & +dn > +interlocutor1,TURN+sr
SHOULDERS+hunched > LEAN+sr,CA:BEE SWARM,null,SQ,Furrowed,+sl & +dn > +dn > +sr & +dn,TURN+sl > TILT+forward
LEAN+forward,CA:FATHER,null,SQ+,Furrowed,+sl & +dn > +dn,TILT+forward > PUSH+forward
LEAN+forward,CD:DAD ,null,null,Furrowed,+sl & +dn > +camera,PUSH+forward > TURN+sr
LEAN+forward & LEAN+sl,CA:BOY,null,SQ,Furrowed,+sl & +dn,TURN+sl > PUSH+forward
null,CA:WOMAN,null,null,Furrowed,+sl & +dn,PUSH+forward > TURN+sl > TURN+sl
SHOULDERS+hunched,null,null,SQ,Furrowed,+sl & +dn,TILT+forward
SHOULDERS+hunched,null,null,SQ,Furrowed,+sl & +dn,TILT+forward
LEAN+forward,CA:MAN,null,SQ,Furrowed,+sl & +dn,TILT+sl
null,CA:MAN,null,SQ,Furrowed,+sl & +dn,TILT+sl > TILT+backward
null,CA:MAN,null,SQ,Furrowed,+sl & +dn,TILT+sr
null,null,null,null,Furrowed,+sl & +dn,TILT+sr > TILT+sl
null,CA:WOMAN,null,null,Furrowed,+sl & +dn,TILT+sl
LEAN+sr,null,null,null,Furrowed,+sl & +dn,null
LEAN+sr,null,null,null,Furrowed,+sl & +dn,TILT+sl > TILT+forward
LEAN+sr,null,null,null,Furrowed,+sl & +dn,TILT+forward
LEAN+sr,null,null,null,Furrowed,+sl & +dn,TILT+forward
LEAN+sr,null,null,//,Furrowed,+sl & +dn,TILT+forward
null,null,null,null,Furrowed,+sl & +dn,TILT+sr
null,null,null,null,Furrowed,+sl & +dn,TILT+sr
null,CD:FRIEND,null,null,Furrowed,+sl & +dn,TILT+sr
null,CD:FRIEND,null,null,Furrowed,+sl & +dn,TILT+forward
null,CD:FRIEND,null,null,Furrowed,+sl & +dn,TILT+forward
null,CD:FRIEND,null,null,Furrowed,+sl & +dn,TILT+forward
null,CD:FRIEND,null,null,Furrowed,+sl & +dn,TILT+forward
null,CD:FRIEND,null,null,Furrowed,+sl & +dn,TILT+forward
null,CD:MAN,null,null,Furrowed,+sl & +dn,PUSH+forward
null,CD:MAN,null,null,Furrowed,+sl & +dn,PUSH+forward
null,CD:MAN,null,null,Furrowed,+sl & +dn,PUSH+forward
LEAN+sl,CD:MAN,null,null,Furrowed,+sl & +dn,null
LEAN+sl,CD:MAN,null,null,Furrowed,+sl & +dn,PUSH+forward
LEAN+sl,CD:MAN,null,null,Furrowed,+sl & +dn,PUSH+forward
LEAN+sl,CD:MAN,null,null,Furrowed,+sl & +dn,PUSH+forward
SHOULDERS+hunched,CD:MAN,null,null,Furrowed,+sl & +dn,PUSH+forward
SHOULDERS+hunched,CA:FRIEND,null,null,Furrowed,+sl & +dn,PUSH+forward
null,CD:MAN,null,null,Furrowed,+sl & +dn,TURN+sl
null,CD:JOB SUPERVISOR,null,null,Furrowed,+sl & +dn,TILT+sr
null,CD:JOB SUPERVISOR,null,null,Furrowed,+sl & +dn,TILT+sr
null,CD:JOB SUPERVISOR,null,null,Furrowed,+sl & +dn,TILT+sr
null,CD:JOB SUPERVISOR,null,null,Furrowed,+sl & +dn,TILT+sr
null,null,null,null,Furrowed,+sl & +dn,TILT+sr
null,null,null,null,Furrowed,+sl & +dn,TILT+sr
null,CA:MAN,null,null,Furrowed,+sl & +dn,TILT+forward
LEAN+sl,null,null,SQ,Furrowed,+sl & +dn,PUSH+forward
LEAN+sl,CA:PEOPLE IN CAR,null,SQ,Furrowed,+sl & +dn,PUSH+forward
LEAN+sl,CA:PEOPLE IN CAR,null,SQ,Furrowed,+sl & +dn,PUSH+forward
null,CA:MAN,null,null,Furrowed,+sl & +dn,TILT+forward
LEAN+sl > LEAN+forward,null,null,null,Furrowed,+sl & +dn,null
null,CA:ENGLISH MAN,null,null,Furrowed,+sl & +dn,null
LEAN+sl,null,null,// > SQ,Furrowed,+sl & +dn,TILT+sl
LEAN+forward,null,null,SQ > //,Furrowed,+sl & +dn,TILT+sl
SHOULDERS+hunched,null,null,// > SQ+ > //,Furrowed,+sl & +dn,TILT+forward
SHOULDERS+hunched,null,null,// > SQ+ > //,Furrowed,+sl & +dn,TILT+backward
null,CD:HELEN,null,SQ+,Furrowed,+sl & +dn,TILT+forward
null,null,null,null,Furrowed,+sl & +dn,PUSH+backward
LEAN+forward,CD:DAD ,null,null,Furrowed,+sl & +dn,PUSH+forward
LEAN+forward,CD:DAD ,null,null,Furrowed,+sl & +dn,PUSH+forward
null,null,null,SQ+,Furrowed,+sl & +dn,TILT+sr
null,null,null,SQ+,Furrowed,+sl & +dn,TILT+sr
TWIST+sl,null,null,null,Furrowed,+sl & +dn,TURN+sl
TWIST+sl,CA:HELEN,null,//,Furrowed,+sl & +dn,TURN+sl > TILT+sr
null,CA:BOY,null,SQ > // > SQ > //,Furrowed,+sl & +dn,TURN+sl
null,CA:BOY,null,CLOSED > SQ,Furrowed,+sl & +dn,TILT+forward
LEAN+forward,CA:BOY,null,null,Furrowed,+sl & +dn,PUSH+forward
LEAN+forward,CA:BOY  ,null,CLOSED,Furrowed,+sl & +dn,TURN+sr
null,CA:WOMAN,null,SQ+ > //,Furrowed,+sl & +dn,Headnod
LEAN+sl,null,null,WD,Furrowed,+sl & +dn,TURN+sl
LEAN+sl,CA:DOG,null,WD,Furrowed,+sl & +dn,PUSH+forward
TWIST+sl,CA:BOY,null,WD,Furrowed,+sl & +dn,PUSH+forward
LEAN+forward > LEAN+sl,null,null,WD,Furrowed,+sl & +dn,TURN+sl
LEAN+sl,null,null,WD,Furrowed,+sl & +dn,TURN+sl
LEAN+sl,null,null,WD,Furrowed,+sl & +dn,TURN+sl
LEAN+forward,CA:DOG,null,null,Furrowed,+sl & +dn,PUSH+forward
LEAN+forward,CA:DOG,2 x Puffed,null,Furrowed,+sl & +dn,PUSH+forward
null,CA:DOG,2 x Puffed,null,Furrowed,+sl & +dn,TURN+sl
null,null,null,//,Furrowed,+sl & +dn,Headshake
TWIST+sl,null,null,null,Furrowed,+sl & +dn,TWIST+sl
TWIST+sl,null,null,null,Furrowed,+sl & +dn,TWIST+sl
LEAN+sl,null,null,null,Furrowed,+sl & +dn,TILT+forward
SHOULDERS+hunched,null,null,null,Furrowed,+sl & +dn,TILT+forward
TWIST+sl,null,null,null,Furrowed,+sl & +dn,TILT+backward > TILT+forward
TWIST+sl,CA:DOG,null,null,Furrowed,+sl & +dn,TILT+forward
LEAN+sl,CA:DOG,null,null,Furrowed,+sl & +dn,TILT+forward
LEAN+forward,null,null,SQ,Furrowed,+sl & +dn,PUSH+forward
LEAN+forward,null,null,SQ,Furrowed,+sl & +dn,TURN+sl
LEAN+forward,null,null,SQ,Furrowed,+sl & +dn,TURN+sl > Headnod
null,null,null,SQ,Furrowed,+sl & +dn,TURN+sl
null,null,null,SQ,Furrowed,+sl & +dn,TURN+sl
null,null,null,SQ,Furrowed,+sl & +dn,TURN+sl > TILT+forward
null,CA:OWL,null,SQ,Furrowed,+sl & +dn,TILT+forward
LEAN+forward,CA:OWL,null,SQ,Furrowed,+sl & +dn,TURN+sl > Headnod
TWIST+sl,null,null,null,Furrowed,+sl & +dn,TURN+sl
LEAN+backward,CA:BOY,null,null,Furrowed,+sl & +dn,TURN+sl
TWIST+sl,CA:BOY,null,null,Furrowed,+sl & +dn,TURN+sl
TWIST+sl,CA:BOY,2 x Puffed,null,Furrowed,+sl & +dn,TURN+sl
SHOULDERS+hunched,null,2 x Puffed,null,Furrowed,+sl & +dn,TURN+sl
SHOULDERS+hunched,null,2 x Puffed,null,Furrowed,+sl & +dn,TURN+sl
SHOULDERS+hunched > TWIST+sl,null,2 x Puffed,null,Furrowed,+sl & +dn,TURN+sl
TWIST+sl,null,null,null,Furrowed,+sl & +dn,TURN+sl
TWIST+sl & SHOULDERS+hunched > LEAN+forward,CA:BOY,null,null,Furrowed,+sl & +dn,TURN+sl > TILT+forward
LEAN+sr,null,null,null,Furrowed,+sl & +dn,TURN+sl
LEAN+sr,null,null,null,Furrowed,+sl & +dn,TURN+sl
LEAN+sr,null,null,null,Furrowed,+sl & +dn,TURN+sl
LEAN+sl,null,null,WD > // > SQ,Furrowed,+sl & +dn,TURN+sl
LEAN+forward,null,null,null,Furrowed,+sl,TURN+sl
LEAN+sl,CA:WOMAN ,null,null,Furrowed,+sl,TURN+sl
LEAN+sl,null,null,SQ,Furrowed,+sl,TILT+sr
LEAN+sl,null,null,SQ,Furrowed,+sl,TILT+sr
null,null,null,SQ,Furrowed,+sl,TILT+sr
null,null,null,SQ,Furrowed,+sl,TILT+sr > Headnod
SHOULDERS+hunched,null,null,null,Furrowed,+sl,TURN+sr > TURN+sl
null,CA:MAN,null,SQ+ > SQ,Furrowed,+sl,TILT+forward > PUSH+backward
LEAN+sr,CA:WOMAN ,null,null,Furrowed,+sl,PUSH+forward
LEAN+sr,CA:WOMAN ,null,null,Furrowed,+sl,PUSH+forward
LEAN+sl,null,null,null,Furrowed,+sl,TURN+sl
LEAN+sl,null,null,SQ,Furrowed,+sl,PUSH+forward
LEAN+sl,null,null,SQ,Furrowed,+sl,TURN+sl
null,CA:PERSON ,null,SQ,Furrowed,+sl,null
null,CA:PERSON ,null,SQ,Furrowed,+sl,null
null,CA:PERSON ,null,SQ,Furrowed,+sl,null
null,CA:PERSON ,null,SQ,Furrowed,+sl,TILT+sl
null,CA:PERSON ,null,SQ,Furrowed,+sl,TILT+sl
SHOULDERS+hunched,null,null,SQ,Furrowed,+sl,TURN+sl
SHOULDERS+hunched,CA:WOMAN,null,CLOSED,Furrowed,+sl,TILT+sl
TWIST+sl,null,null,SQ,Furrowed,+sl,TILT+backward
TWIST+sl,null,null,CLOSED,Furrowed,+sl,TURN+sr
null,null,null,null,Furrowed,+sl,TILT+forward
null,null,null,null,Furrowed,+sl,Headshake
null,null,null,null,Furrowed,+sl,null
LEAN+sl,null,null,SQ,Furrowed,+sl,PUSH+forward
LEAN+sl,null,null,SQ,Furrowed,+sl,PUSH+forward
LEAN+sl,CA:FRIEND,null,SQ,Furrowed,+sl,TILT+backward > Headnod
null,null,null,null,Furrowed,+sl,null
null,null,null,null,Furrowed,+sl,null
null,null,null,//,Furrowed,+sl,TURN+sl
null,CD:FRIEND,null,null,Furrowed,+sl,TILT+forward
null,CA:FRIEND,null,null,Furrowed,+sl,null
null,CD:FRIEND,null,null,Furrowed,+sl,null
null,CD:FRIEND,null,null,Furrowed,+sl,null
null,CD:MAN,null,null,Furrowed,+sl,TILT+sl
null,CD:MAN,null,null,Furrowed,+sl,null
null,CD:MAN,null,null,Furrowed,+sl,Headnod
null,CD:MAN,null,null,Furrowed,+sl,Headnod
null,CD:MAN,null,null,Furrowed,+sl,Headnod
null,CD:MAN,null,null,Furrowed,+sl,PUSH+forward
null,CD:MAN,null,null,Furrowed,+sl,PUSH+forward > TILT+backward
null,CD:MAN,null,null,Furrowed,+sl,TILT+backward
null,CD:MAN,null,null,Furrowed,+sl,TILT+backward > TILT+forward
null,null,null,null,Furrowed,+sl,null
null,null,null,null,Furrowed,+sl,TILT+forward
null,CD:MAN,null,null,Furrowed,+sl,Headshake
null,CD:MAN,null,null,Furrowed,+sl,TILT+sr
null,CA:MAN,null,null,Furrowed,+sl,TURN+sl
