,,,,,,,,,,,,,,,,
,"Cite: Smith, R. G., & Hofmann, M. (2020). A Lexical Frequency Analysis of Irish Sign Language. TEANGA, the Journal of the Irish Association for Applied Linguistics, 11, 18–47. https://doi.org/10.35903/teanga.v11i1.162",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"Sign frequency list for the entire SOI corpus. This list has not been processed for alternates, ",,,,,,,,,,,,,,,
,"e.g., row 1: Index+me, 5: INDEX-Me, 10: INDEX+ME*, 17: INDEX-Me*",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lexical Gloss,Freq,% of unique glosses,% of all glosses,per 1000 words,,,,,,,,,,,
116,WAIT,15,0.37%,0.13%,1.3,,,,,,,,,,,
117,WAS,15,0.37%,0.13%,1.3,,,,,,,,,,,
118,'rubs hands',14,0.35%,0.13%,1.3,,,,,,,,,,,
119,BREAK,14,0.35%,0.13%,1.3,,,,,,,,,,,
120,HOUSE,14,0.35%,0.13%,1.3,,,,,,,,,,,
121,IF,14,0.35%,0.13%,1.3,,,,,,,,,,,
122,LOOK-AROUND,14,0.35%,0.13%,1.3,,,,,,,,,,,
123,OTHER,14,0.35%,0.13%,1.3,,,,,,,,,,,
124,SIX,14,0.35%,0.13%,1.3,,,,,,,,,,,
125,SLEEP,14,0.35%,0.13%,1.3,,,,,,,,,,,
126,STORY,14,0.35%,0.13%,1.3,,,,,,,,,,,
127,gesture 2X CL-5 PALMS UP,14,0.35%,0.13%,1.3,,,,,,,,,,,
128,BIG,13,0.32%,0.12%,1.2,,,,,,,,,,,
129,DRIVE-MOTORBIKE,13,0.32%,0.12%,1.2,,,,,,,,,,,
130,ENTER,13,0.32%,0.12%,1.2,,,,,,,,,,,
131,GO-OFF,13,0.32%,0.12%,1.2,,,,,,,,,,,
132,GONE,13,0.32%,0.12%,1.2,,,,,,,,,,,
133,HEARING,13,0.32%,0.12%,1.2,,,,,,,,,,,
134,INDEX+sl*,13,0.32%,0.12%,1.2,,,,,,,,,,,
135,LET,13,0.32%,0.12%,1.2,,,,,,,,,,,
136,NAME,13,0.32%,0.12%,1.2,,,,,,,,,,,
137,ON,13,0.32%,0.12%,1.2,,,,,,,,,,,
138,SIT,13,0.32%,0.12%,1.2,,,,,,,,,,,
139,WALK-AROUND,13,0.32%,0.12%,1.2,,,,,,,,,,,
140,BICYCLE,12,0.30%,0.11%,1.1,,,,,,,,,,,
141,BUY,12,0.30%,0.11%,1.1,,,,,,,,,,,
142,CAN,12,0.30%,0.11%,1.1,,,,,,,,,,,
143,DEAD,12,0.30%,0.11%,1.1,,,,,,,,,,,
144,DEER,12,0.30%,0.11%,1.1,,,,,,,,,,,
145,EAMON-HAYES,12,0.30%,0.11%,1.1,,,,,,,,,,,
146,HOW,12,0.30%,0.11%,1.1,,,,,,,,,,,
147,INDEX+sr*,12,0.30%,0.11%,1.1,,,,,,,,,,,
148,RIGHT,12,0.30%,0.11%,1.1,,,,,,,,,,,
149,SCHOOL,12,0.30%,0.11%,1.1,,,,,,,,,,,
150,SEVEN,12,0.30%,0.11%,1.1,,,,,,,,,,,
151,TOGETHER,12,0.30%,0.11%,1.1,,,,,,,,,,,
152,ARRIVE,11,0.27%,0.10%,1.0,,,,,,,,,,,
153,BABY,11,0.27%,0.10%,1.0,,,,,,,,,,,
154,BRING,11,0.27%,0.10%,1.0,,,,,,,,,,,
155,CANNOT,11,0.27%,0.10%,1.0,,,,,,,,,,,
156,CAR,11,0.27%,0.10%,1.0,,,,,,,,,,,
157,ENGINE,11,0.27%,0.10%,1.0,,,,,,,,,,,
158,FIRST,11,0.27%,0.10%,1.0,,,,,,,,,,,
159,FOLLOW,11,0.27%,0.10%,1.0,,,,,,,,,,,
160,GIRL,11,0.27%,0.10%,1.0,,,,,,,,,,,
161,INDEX +fl,11,0.27%,0.10%,1.0,,,,,,,,,,,
162,PUB,11,0.27%,0.10%,1.0,,,,,,,,,,,
