Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine
"{Body_value=null,Eyegaze.value=+camera} ", {CA.value=null},0.05,0.93,0.05,1.42,150,4.71,0.08
"{Eyebrows.value=eyebrow movement,Head.value=PUSH} ", {Body_value=LEAN},0.03,0.66,0.05,1.42,100,1.58,0.07
"{CA.value=CA,Eye_Ap.value=null} ", {Eyegaze.value=side},0.03,0.28,0.12,1.42,97,1.11,0.12
"{Body_value=LEAN,Eye_Ap.value=SQ} ", {Eyebrows.value=eyebrow movement},0.07,0.74,0.09,1.42,204,1.86,0.12
"{Eyebrows.value=eyebrow movement,Head.value=TURN} ", {Eye_Ap.value=SQ},0.04,0.27,0.16,1.42,127,1.11,0.14
"{Body_value=null,CA.value=null} ", {Eye_Ap.value=//},0.06,0.22,0.27,1.42,179,1.08,0.16
"{Eyegaze.value=+camera,Head.value=TILT} ", {CA.value=null},0.04,0.92,0.05,1.42,130,4.47,0.07
"{CA.value=null,Eyebrows.value=eyebrow movement} ", {Eyegaze.value=+camera},0.05,0.17,0.31,1.41,160,1.06,0.14
"{CA.value=null,Eye_Ap.value=WD} ", {Eyebrows.value=eyebrow movement},0.04,0.74,0.06,1.41,128,1.83,0.08
"{Eye_Ap.value=SQ,Head.value=TILT} ", {Eyebrows.value=eyebrow movement},0.05,0.74,0.06,1.40,137,1.81,0.08
"{Eyebrows.value=eyebrow movement,Eyegaze.value=side} ", {Head.value=TURN},0.05,0.41,0.12,1.40,154,1.20,0.14
"{Cheeks.value=null,Eye_Ap.value=WD} ", {CA.value=CA},0.05,0.44,0.10,1.40,135,1.22,0.12
"{Eye_Ap.value=null,Head.value=TURN} ", {Eyegaze.value=side & UpDn},0.05,0.37,0.13,1.40,144,1.17,0.14
"{CA.value=CA,Cheeks.value=null} ", {Eye_Ap.value=WD},0.05,0.15,0.30,1.40,135,1.05,0.12
"{CA.value=null,Eye_Ap.value=SQ} ", {Eyebrows.value=eyebrow movement},0.09,0.73,0.12,1.39,261,1.76,0.16
{Eye_Ap.value=WD} , {CA.value=CA},0.05,0.43,0.11,1.39,139,1.22,0.12
{CA.value=CA} , {Eye_Ap.value=WD},0.05,0.15,0.31,1.39,139,1.05,0.12
"{Body_value=LEAN,Eyegaze.value=side} ", {CA.value=CA},0.04,0.43,0.09,1.39,115,1.21,0.11
"{Eyebrows.value=null,Eyegaze.value=+camera} ", {CA.value=null},0.05,0.90,0.06,1.39,159,3.61,0.08
"{Body_value=LEAN,Head.value=TURN} ", {Eyegaze.value=side & UpDn},0.05,0.37,0.14,1.39,156,1.16,0.15
"{CA.value=null,Cheeks.value=null} ", {Eyegaze.value=+camera},0.11,0.17,0.64,1.39,318,1.06,0.16
"{CA.value=CA,Cheeks.value=null} ", {Head.value=PUSH},0.03,0.11,0.30,1.38,100,1.03,0.10
"{Eyebrows.value=null,Head.value=TILT} ", {Eye_Ap.value=//},0.03,0.22,0.16,1.38,101,1.08,0.12
"{CA.value=null,Eye_Ap.value=//} ", {Body_value=null},0.06,0.51,0.12,1.38,179,1.29,0.14
{Body_value=TWIST} , {Eyegaze.value=side & UpDn},0.03,0.36,0.09,1.37,97,1.16,0.10
{Eyegaze.value=side & UpDn} , {Body_value=TWIST},0.03,0.12,0.27,1.37,97,1.04,0.10
{Head.value=PUSH} , {CA.value=CA},0.03,0.43,0.08,1.37,103,1.20,0.10
{CA.value=CA} , {Head.value=PUSH},0.03,0.11,0.31,1.37,103,1.03,0.10
"{CA.value=null,Eyebrows.value=null} ", {Eyegaze.value=+interlocutor1},0.03,0.10,0.34,1.37,98,1.03,0.09
"{Eye_Ap.value=SQ,Eyegaze.value=side & UpDn} ", {Eyebrows.value=eyebrow movement},0.04,0.72,0.05,1.37,106,1.68,0.07
"{Cheeks.value=null,Eyegaze.value=+camera} ", {CA.value=null},0.11,0.89,0.12,1.36,318,3.12,0.16
"{Eyegaze.value=side,Head.value=TURN} ", {Eye_Ap.value=null},0.05,0.55,0.09,1.36,150,1.33,0.11
{Eyegaze.value=+camera} , {CA.value=null},0.11,0.88,0.12,1.36,319,3.00,0.16
{CA.value=null} , {Eyegaze.value=+camera},0.11,0.16,0.65,1.36,319,1.05,0.16
"{Cheeks.value=null,Head.value=PUSH} ", {CA.value=CA},0.03,0.42,0.08,1.36,100,1.19,0.09
"{Eyebrows.value=null,Eyegaze.value=side & UpDn} ", {Eye_Ap.value=null},0.07,0.55,0.12,1.36,202,1.32,0.15
"{Body_value=LEAN,Cheeks.value=null} ", {Head.value=PUSH},0.05,0.11,0.45,1.36,147,1.03,0.10
"{Body_value=null,Eyegaze.value=side} ", {Eye_Ap.value=null},0.05,0.55,0.08,1.35,136,1.32,0.10
"{Cheeks.value=null,Eyegaze.value=side & UpDn} ", {Body_value=TWIST},0.03,0.12,0.25,1.35,91,1.04,0.10
"{Body_value=TWIST,Cheeks.value=null} ", {Eyegaze.value=side & UpDn},0.03,0.36,0.09,1.35,91,1.14,0.10
{Head.value=PUSH} , {Body_value=LEAN},0.05,0.63,0.08,1.34,150,1.42,0.10
{Body_value=LEAN} , {Head.value=PUSH},0.05,0.11,0.47,1.34,150,1.03,0.10
"{CA.value=null,Head.value=TURN} ", {Eyegaze.value=side},0.05,0.26,0.18,1.34,141,1.09,0.14
"{Cheeks.value=null,Eye_Ap.value=WD} ", {Eyebrows.value=eyebrow movement},0.07,0.70,0.10,1.34,216,1.59,0.13
"{Cheeks.value=null,Head.value=PUSH} ", {Body_value=LEAN},0.05,0.62,0.08,1.34,147,1.42,0.10
"{Eyegaze.value=side,Head.value=TURN} ", {CA.value=CA},0.04,0.42,0.09,1.33,113,1.18,0.10
"{Eyebrows.value=null,Head.value=null} ", {CA.value=null},0.05,0.87,0.06,1.33,164,2.64,0.08
"{Eye_Ap.value=null,Head.value=null} ", {Eyebrows.value=null},0.03,0.63,0.05,1.33,102,1.43,0.07
"{CA.value=null,Eyegaze.value=+camera} ", {Head.value=TILT},0.04,0.41,0.11,1.33,130,1.17,0.12
{Eye_Ap.value=WD} , {Eyebrows.value=eyebrow movement},0.07,0.70,0.11,1.33,223,1.57,0.13
{Eyebrows.value=eyebrow movement} , {Eye_Ap.value=WD},0.07,0.14,0.52,1.33,223,1.04,0.13
"{Eyebrows.value=eyebrow movement,Eyegaze.value=+camera} ", {CA.value=null},0.05,0.86,0.06,1.33,160,2.58,0.08
"{Body_value=LEAN,Eyegaze.value=+camera} ", {CA.value=null},0.04,0.86,0.05,1.33,134,2.58,0.07
"{Eyebrows.value=null,Head.value=null} ", {Eye_Ap.value=null},0.03,0.54,0.06,1.33,102,1.29,0.08
"{Body_value=null,Eye_Ap.value=//} ", {Eyebrows.value=null},0.05,0.63,0.07,1.32,138,1.42,0.09
"{Cheeks.value=null,Eyebrows.value=eyebrow movement} ", {Eye_Ap.value=WD},0.07,0.14,0.51,1.32,216,1.04,0.13
"{Body_value=null,Eyegaze.value=side} ", {Eyebrows.value=eyebrow movement},0.06,0.69,0.08,1.32,171,1.55,0.10
"{Body_value=LEAN,Eye_Ap.value=null} ", {Eyegaze.value=side & UpDn},0.07,0.35,0.19,1.32,198,1.13,0.17
"{Eyebrows.value=eyebrow movement,Eyegaze.value=side & UpDn} ", {Eye_Ap.value=SQ},0.04,0.25,0.14,1.32,106,1.08,0.12
"{CA.value=null,Eye_Ap.value=null} ", {Eyebrows.value=null},0.17,0.63,0.27,1.31,496,1.40,0.29
"{Body_value=LEAN,CA.value=null} ", {Eyegaze.value=+camera},0.04,0.16,0.28,1.31,134,1.04,0.13
"{CA.value=CA,Eye_Ap.value=null} ", {Eyegaze.value=side & UpDn},0.04,0.35,0.12,1.31,121,1.13,0.12
"{CA.value=null,Eyebrows.value=null} ", {Eyegaze.value=+camera},0.05,0.16,0.34,1.31,159,1.04,0.13
"{CA.value=null,Eyegaze.value=side & UpDn} ", {Head.value=TURN},0.06,0.38,0.15,1.31,177,1.15,0.15
"{Cheeks.value=null,Head.value=TILT} ", {Eyegaze.value=+camera},0.05,0.16,0.30,1.30,140,1.04,0.13
"{CA.value=CA,Eyegaze.value=side} ", {Eyebrows.value=eyebrow movement},0.05,0.68,0.07,1.30,151,1.50,0.09
"{Eyebrows.value=eyebrow movement,Eyegaze.value=side} ", {CA.value=CA},0.05,0.41,0.12,1.30,151,1.16,0.13
"{CA.value=CA,Eyebrows.value=null} ", {Body_value=LEAN},0.08,0.60,0.13,1.29,237,1.35,0.15
"{Body_value=null,Eyegaze.value=+interlocutor1} ", {CA.value=null},0.03,0.84,0.04,1.29,102,2.22,0.05
"{CA.value=CA,Eyebrows.value=null} ", {Eyegaze.value=side & UpDn},0.05,0.34,0.13,1.29,135,1.12,0.13
"{CA.value=null,Eye_Ap.value=null} ", {Head.value=null},0.04,0.16,0.27,1.29,130,1.04,0.12
"{Eye_Ap.value=null,Eyegaze.value=side & UpDn} ", {Head.value=TURN},0.05,0.38,0.13,1.29,144,1.14,0.13
"{Body_value=LEAN,Eye_Ap.value=null} ", {Eyebrows.value=null},0.12,0.61,0.19,1.29,348,1.36,0.21
"{Cheeks.value=null,Eye_Ap.value=//} ", {Body_value=null},0.07,0.48,0.15,1.29,218,1.20,0.16
"{CA.value=null,Eyebrows.value=null} ", {Head.value=null},0.05,0.16,0.34,1.28,164,1.04,0.13
"{Body_value=LEAN,Head.value=TURN} ", {CA.value=CA},0.06,0.40,0.14,1.28,170,1.15,0.14
