Antecedent,Consequent,support,confidence,coverage,lift,count,conviction,cosine
"{Cheeks=null,Eye_Aperture=SQ} ", {ï..Body_Movement=null},0.039130435,0.287469287,0.136120401,0.777154764,117,0.884313228,0.083810888
"{ï..Body_Movement=null,Cheeks=null} ", {Head_Movement=TURN+sl},0.033110368,0.090742438,0.364882943,0.766440367,99,0.969588143,0.073551263
{Eye_Aperture=SQ} , {ï..Body_Movement=null},0.039799331,0.283333333,0.140468227,0.765973478,119,0.879209769,0.084577114
{ï..Body_Movement=null} , {Eye_Aperture=SQ},0.039799331,0.107594937,0.369899666,0.765973478,119,0.963163263,0.084577114
{Head_Movement=TURN+sl} , {ï..Body_Movement=null},0.033444816,0.282485876,0.118394649,0.763682431,100,0.878171332,0.073529412
{ï..Body_Movement=null} , {Head_Movement=TURN+sl},0.033444816,0.090415913,0.369899666,0.763682431,100,0.969240078,0.073529412
"{ï..Body_Movement=null,Cheeks=null} ", {Eye_Aperture=SQ},0.039130435,0.107241063,0.364882943,0.763454236,117,0.962781482,0.083931133
"{Eye_Aperture=null,Eyebrows=Furrowed} ", {CA=null},0.051170569,0.484177215,0.105685619,0.743931076,153,0.676906662,0.07254623
"{CA=null,Eye_Aperture=null} ", {Eyebrows=Raised},0.046488294,0.175283733,0.265217391,0.729942006,139,0.92136684,0.101311953
"{ï..Body_Movement=null,CA=null} ", {Eyebrows=Furrowed},0.053846154,0.199257426,0.270234114,0.724792826,161,0.905514001,0.109598366
"{CA=null,Eye_Aperture=null} ", {Eyebrows=Furrowed},0.051170569,0.192938209,0.265217391,0.701806868,153,0.898423913,0.104651163
"{Cheeks=null,Eyebrows=Raised} ", {Eye_Aperture=null},0.064882943,0.28115942,0.230769231,0.690769652,194,0.824906948,0.113251605
{Eye_Aperture=WD} , {Eyebrows=null},0.030769231,0.327402135,0.093979933,0.688419398,92,0.779685371,0.057107387
{Eyebrows=null} , {Eye_Aperture=WD},0.030769231,0.064697609,0.475585284,0.688419398,92,0.968692132,0.057107387
"{CA=null,Eyebrows=Raised} ", {Eye_Aperture=null},0.046488294,0.27744511,0.167558528,0.681644107,139,0.820666494,0.088030399
"{Cheeks=null,Eye_Aperture=null} ", {Eyebrows=Raised},0.064882943,0.163437237,0.396989967,0.680609106,194,0.90831944,0.113383986
{Eyebrows=Raised} , {Eye_Aperture=null},0.066220736,0.275766017,0.240133779,0.677518809,198,0.818763828,0.113989637
{Eye_Aperture=null} , {Eyebrows=Raised},0.066220736,0.162695152,0.407023411,0.677518809,198,0.907514417,0.113989637
"{Cheeks=null,Eyebrows=null} ", {Eyegaze=+sl},0.033444816,0.0723589,0.462207358,0.645830183,100,0.957223506,0.061842919
{Eyegaze=+sl} , {Eyebrows=null},0.034113712,0.304477612,0.112040134,0.640216638,102,0.753986823,0.06163142
{Eyebrows=null} , {Eyegaze=+sl},0.034113712,0.071729958,0.475585284,0.640216638,102,0.956574947,0.06163142
"{Cheeks=null,Eyegaze=+sl} ", {Eyebrows=null},0.033444816,0.303951368,0.110033445,0.639110119,100,0.753416775,0.060569352
{Eye_Aperture=SQ} , {Eyebrows=null},0.039464883,0.280952381,0.140468227,0.590750787,118,0.729318479,0.068445476
{Eyebrows=null} , {Eye_Aperture=SQ},0.039464883,0.082981716,0.475585284,0.590750787,118,0.937311488,0.068445476
"{Cheeks=null,Eye_Aperture=SQ} ", {Eyebrows=null},0.037123746,0.272727273,0.136120401,0.57345608,111,0.721070234,0.064610012
"{Cheeks=null,Eyebrows=null} ", {Eye_Aperture=SQ},0.037123746,0.080318379,0.462207358,0.571790366,111,0.934597097,0.065641632
